From	To
P00519	CHEMBL1862
Q04771	CHEMBL5903
P00352	CHEMBL3577
O14965	CHEMBL4722
Q06187	CHEMBL5251
O14757	CHEMBL4630
P48730	CHEMBL2828
Q13627	CHEMBL2292
P00533	CHEMBL203
P08246	CHEMBL248
P29320	CHEMBL4954
P00742	CHEMBL244
P19491	CHEMBL3503
P04035	CHEMBL402
P93836	CHEMBL2242740
P9WGR1	CHEMBL1849
P01116	CHEMBL2189121
P06239	CHEMBL258
P08581	CHEMBL3717
P42345	CHEMBL2842
Q9BVC4	CHEMBL4296661
Q9BVC4	CHEMBL4523999
P43235	CHEMBL268
Q16539	CHEMBL260
P03366	CHEMBL5823
P00439	CHEMBL3076
Q13153	CHEMBL4600
Q8NBP7	CHEMBL2929
Q9Y233	CHEMBL4409
Q08499	CHEMBL288
Q13946	CHEMBL3012
O35904	CHEMBL2216745
O00329	CHEMBL3130
P48736	CHEMBL3267
P27986	CHEMBL2506
P10828	CHEMBL1947
P29597	CHEMBL3553
Q16853	CHEMBL3437
P35968	CHEMBL279
