Chemical_ID,PDB_ID,Protein_Name,Torsion_Angle
7MP,2HIW,Abl,-88.419998
IR2,6GIN,ACVE1,153.60001
A5Y,6DUM,ALDH1A1,95.919998
M39,5TEI,ALDH1A1,124.02
P9J,3P9J,AURKA,18.59
P9J,3W16,AURKA,36.689999
6MV,5JRS,BTK,-70.07
7G7,5P9H,BTK,80.559998
2V2,4OTQ,BTK,86.660004
6XL,5KUP,BTK,86.660004
7G6,5P9G,BTK,88.18
2V3,4OTR,BTK,89.639999
GMW,6HRT,BTK,93.629997
3OV,4RFZ,BTK,93.910004
73T,5T18,BTK,96.389999
GMQ,6HRP,BTK,97.080002
KLM,6NFH,BTK,100.8
38M,3F9N,Chk1,61.860001
9XK,5OKT,CSNK1D,108.03
FQC,5EAF,CYP51,82.900002
LM7,6O5J,DAD2,80.230003
B6N,6EIS,DYRK1A,-87.690002
3LH,4WD5,EGFR T790M,52.950001
F62,5GMP,EGFR T790M,105.79
WQQ,5ABW,ELA2,100.62
C07,4G2F,EphA3,-108.58
H21,2VVV,FXa,-88.339996
LZH,2VWL,FXa,-84.339996
455,2XBW,FXa,-80.379997
IVK,2XC4,FXa,-79.519997
RR8,2XBX,FXa,-78.309998
OYJ,2XC5,FXa,-77.339996
H22,2VVU,FXa,-76.040001
LZG,2VWO,FXa,-74.029999
XBV,2XBV,FXa,-73.779999
H25,2VWN,FXa,-73.730003
8NC,2XC0,FXa,-72.769997
LZF,2VVC,FXa,89.650002
FXA,3CEN,FXa,94.150002
230,2PHB,FXa,97.260002
L1D,2W3K,FXa,98.120003
ME1,2P93,FXa,98.260002
LZI,2VWM,FXa,100.38
ME5,2P95,FXa,107.92
ME4,2P94,FXa,112.06
L1C,2W3I,FXa,123.55
6ZQ,5L1E,GluA2,77.58000200000001
6ZP,5L1F,GluA2,121.79
HR1,2Q6C,HMGCR,96.309998
92X,5YWK,HPPD,-89.519997
94L,5YY7,HPPD,96.860001
94L,5YY6,HPPD,105.28
9G4,4D0S,InhA,54.360001000000004
41I,4D0R,InhA,77.879997
MOV,6OIM,KRAS,-85.510002
OHY,6PGP,KRAS,-84.739998
AM9,3BYO,Lck,78.949997
353,6SDD,Met,64.0
1FN,3CE3,Met,65.08000200000001
353,3F82,Met,66.139999
L1X,4EEV,Met,72.370003
17G,4JSX,mTOR,81.269997
ORH,3KWB,p38a,-143.95
AA0,4AA0,p38a,-99.150002
QC0,4AA4,p38a,-96.940002
AAV,4AAC,p38a,-96.25
NQB,4AA5,p38a,-91.839996
222,2I0H,p38a,-77.550003
F4C,3K3J,p38a,54.82
0OK,4EH2,p38a,82.839996
I45,3HLL,p38a,100.97
29A,3ROC,p38a,108.11
IY1,6O9E,p66rt,63.139998999999996
3QI,4ANP,PAH,-90.779999
6BZ,5IME,PAK1,65.650002
QLN,6Q9N,PBP2a,-135.28999
QNZ,4CJN,PBP2a,32.43
PVM,6U36,PCSK9,119.1
4PX,5C2H,PDE10A,79.529999
4PX,5DH4,PDE10A,80.349998
4PX,4ZO5,PDE10A,80.440002
4PX,5C2E,PDE10A,81.790001
4Q0,4ZO5,PDE10A,97.839996
D71,3G4I,PDE3D,60.970001
D71,3G4G,PDE3D,61.939999
TC8,3G3N,PDE7A,92.790001
NRF,5MOG,PDS1,-45.040001000000004
ZZQ,2WXQ,PI3Kd,-107.91
68R,5I6U,PI3Kd,79.93
S30,2WXI,PI3Kd,80.639999
40L,4XE0,PI3Kd,82.139999
IC8,2X38,PI3Kd,85.800003
ZZN,2WXG,PI3Kd,87.809998
ZZO,2WXH,PI3Kd,89.66999799999999
039,2WXF,PI3Kd,90.910004
EO5,6G6W,PI3Kd,94.029999
67T,5I4U,PI3Kd,97.129997
039,2CHW,PI3Kg,88.300003
76C,5T7F,PIK3d,-86.559998
77C,5T8I,PIK3d,93.279999
7KA,5M6U,PIK3d,98.120003
1FN,6OKO,RIPK3,50.720001
PFA,1N46,THRB,110.49
5U4,5F20,Tyk2,-71.639999
KZJ,6NSL,Tyk2,104.22
JW7,4BTW,VAP1,1.5700001000000001
WF8,4BTX,VAP1,52.290001000000004
JWF,4BTY,VAP1,55.360001000000004
C52,3CPC,Vegfr,53.200001
C19,3CP9,Vegfr,59.029999
