Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
24361,Clc1sc2cc([nH]c2c1Cl)C(=O)NC1Cc2ccccc2NC1=O,IC50,nM,132
24363,Clc1cc2cc([nH]c2s1)C(=O)NC1Cc2ccccc2NC1=O,IC50,nM,41
24364,CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,223
24365,COCCN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,50
24366,CSCCN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,163
24367,CS(=O)CCN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,48
24368,CS(=O)(=O)CCN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,63
24369,CCC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,84
24370,OC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2sc(Cl)c(Cl)c2[nH]1,IC50,nM,63
24371,OC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)ccc2[nH]1,IC50,nM,237
24372,NC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,135
24373,CNC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,79
24374,CN(C)C(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,161
24375,CNC(=O)CCN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,150
24376,ONC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,103
24377,OCCNC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,121
24378,OC1CCN(CC1)C(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,709
24379,OCC(CO)NC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,104
24380,O[C@H]1CN(C[C@H]1O)C(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1 |r|,IC50,nM,140
24381,CS(=O)(=O)NC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,399
24382,ONC(=N)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,75
24383,COC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,84
24384,Clc1cc2cc([nH]c2s1)C(=O)NC1Cc2ccccc2N(CC#N)C1=O,IC50,nM,28
24385,OCCN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2sc(Cl)c(Cl)c2[nH]1,IC50,nM,7
24386,OCCN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,26
24387,OCCN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)ccc2[nH]1,IC50,nM,17
24388,OCC(CO)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2sc(Cl)c(Cl)c2[nH]1,IC50,nM,38
24389,OCC(CO)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,60
24390,OCC(CO)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)ccc2[nH]1,IC50,nM,66
24391,OCCCN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,21
24392,CCC(O)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1,IC50,nM,44
24393,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2sc(Cl)c(Cl)c2[nH]1 |r|,IC50,nM,2
24394,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1 |r|,IC50,nM,29
24395,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c1cc2cc(Cl)ccc2[nH]1 |r|,IC50,nM,44
24396,OC[C@H](O)CN1C(=O)[C@@H](Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1 |r|,IC50,nM,40
24397,OC[C@H](O)CN1C(=O)[C@H](Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1 |r|,IC50,nM,27
24398,OC[C@@H](O)CN1C(=O)[C@@H](Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1 |r|,IC50,nM,21
24399,OC[C@@H](O)CN1C(=O)[C@H](Cc2ccccc12)NC(=O)c1cc2cc(Cl)sc2[nH]1 |r|,IC50,nM,12
27725,Cc1cccc(Cl)c1NC(=O)Nc1cc2ccccc2cc1C(=O)N[C@@H](C1CCCCC1)C(O)=O |r|,IC50,nM,73
27726,C[C@@H](OC(C)(C)C)[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc1c(C)cc(C)cc1C)C(O)=O |r|,IC50,nM,7
27727,C[C@@H](OC(C)(C)C)[C@H](NC(=O)c1ccccc1NC(=O)Nc1c(C)cc(C)cc1C)C(O)=O |r|,IC50,nM,542
27728,C[C@@H](OC(C)(C)C)[C@H](NC(=O)c1ccc(F)cc1NC(=O)Nc1c(C)cc(C)cc1C)C(O)=O |r|,IC50,nM,506
27729,C[C@@H](OC(C)(C)C)[C@H](NC(=O)c1ccc(cc1NC(=O)Nc1c(C)cc(C)cc1C)-c1ccccc1)C(O)=O |r|,IC50,nM,10
27730,COc1ccc(cc1)-c1ccc(C(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(O)=O)c(NC(=O)Nc2c(C)cc(C)cc2C)c1 |r|,IC50,nM,3
27731,COc1cccc(c1)-c1ccc(C(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(O)=O)c(NC(=O)Nc2c(C)cc(C)cc2C)c1 |r|,IC50,nM,8
27732,COc1ccccc1-c1ccc(C(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(O)=O)c(NC(=O)Nc2c(C)cc(C)cc2C)c1 |r|,IC50,nM,28
27733,C[C@@H](OC(C)(C)C)[C@H](NC(=O)c1ccc(cc1NC(=O)Nc1c(C)cc(C)cc1C)-c1cccc(F)c1)C(O)=O |r|,IC50,nM,15
27734,C[C@@H](OC(C)(C)C)[C@H](NC(=O)c1ccc(cc1NC(=O)Nc1c(C)cc(C)cc1C)-c1ccc(F)cc1)C(O)=O |r|,IC50,nM,7
27735,C[C@@H](OC(C)(C)C)[C@H](NC(=O)c1ccc(cc1NC(=O)Nc1c(C)cc(C)cc1C)-c1ccc(F)c(F)c1)C(O)=O |r|,IC50,nM,13
27737,Cc1cc(C)c(NC(=O)Nc2cc(F)ccc2C(=O)N[C@@H](C2CCCCC2)C(O)=O)c(C)c1 |r|,IC50,nM,143
27738,CCc1cc(C)c(NC(=O)Nc2cc(F)ccc2C(=O)N[C@@H](C2CCCCC2)C(O)=O)c(C)c1 |r|,IC50,nM,87
27739,CCCc1cc(C)c(NC(=O)Nc2cc(F)ccc2C(=O)N[C@@H](C2CCCCC2)C(O)=O)c(C)c1 |r|,IC50,nM,19
27740,Cc1cc(CC2CC2)cc(C)c1NC(=O)Nc1cc(F)ccc1C(=O)N[C@@H](C1CCCCC1)C(O)=O |r|,IC50,nM,13
27741,CCCCc1cc(C)c(NC(=O)Nc2cc(F)ccc2C(=O)N[C@@H](C2CCCCC2)C(O)=O)c(C)c1 |r|,IC50,nM,49
27742,CCCc1cc(C)c(NC(=O)Nc2cc(F)ccc2C(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(O)=O)c(C)c1 |r|,IC50,nM,10
27743,C[C@@H](OC(C)(C)C)[C@H](NC(=O)c1ccc(F)cc1NC(=O)Nc1c(C)cc(CC2CC2)cc1C)C(O)=O |r|,IC50,nM,4
27744,CCCc1cc(C)c(NC(=O)Nc2cc(ccc2C(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(O)=O)-c2ccc(F)c(F)c2)c(C)c1 |r|,IC50,nM,7
27745,CCCc1cc(C)c(NC(=O)Nc2cc(ccc2C(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(O)=O)-c2ccc(OC)cc2)c(C)c1 |r|,IC50,nM,4
27746,CCCc1cc(C)c(NC(=O)Nc2cc(ccc2C(=O)N[C@@H]([C@@H](C)OC(C)(C)C)C(O)=O)-c2cccc(F)c2)c(C)c1 |r|,IC50,nM,4
27747,C[C@@H](OC(C)(C)C)[C@H](NC(=O)c1ccc(cc1NC(=O)Nc1c(C)cc(CC2CC2)cc1C)-c1cccc(F)c1)C(O)=O |r|,IC50,nM,3
35338,OC1CCc2cc(NC(=O)c3cc4cc(Cl)ccc4[nH]3)ccc12,IC50,nM,440
35339,OC1CCCc2cc(NC(=O)c3cc4cc(Cl)ccc4[nH]3)ccc12,IC50,nM,320
35341,Oc1cccc2cc(NC(=O)c3cc4cc(Cl)ccc4[nH]3)ccc12,IC50,nM,900
35343,O[C@H]1CCc2cc(NC(=O)c3cc4cc(Cl)ccc4[nH]3)ccc2[C@@H]1O |r|,IC50,nM,800
35345,OC1c2ccc(NC(=O)c3cc4cc(Cl)ccc4[nH]3)cc2CCC1(F)F,IC50,nM,68
35346,OC1CCN(CC1)C(=O)[C@H](Cc1ccc(F)cc1)NC(=O)c1cc2cc(Cl)ccc2[nH]1 |r|,IC50,nM,205
35347,COc1cc2C(O)C(F)(F)CCc2cc1NC(=O)c1cc2cc(Cl)ccc2[nH]1,IC50,nM,810
35348,COc1c(NC(=O)c2cc3cc(Cl)ccc3[nH]2)ccc2C(O)C(F)(F)CCc12,IC50,nM,590
