Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
13216,Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1,Ki,nM,0.016
13357,Cc1cccc(Cl)c1NC(=O)c1ccc2nc(Nc3cccc(NCCO)n3)sc2c1,Ki,nM,13
13534,CN1CCN(CC1)c1cc(Nc2cc(C)n[nH]2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1,Ki,nM,350
86856,[O-][N+](=O)c1ccc(CSc2nnc(NC(=O)c3ccc(Cl)cc3)s2)cc1,Ki,nM,165
86857,[O-][N+](=O)c1ccc(CSc2nnc(NC(=O)c3ccccc3Cl)s2)cc1,Ki,nM,219
86858,Fc1cccc(CSc2nnc(NC(=O)c3ccccc3Cl)s2)c1,Ki,nM,718
86859,Clc1ccc(cc1)C(=O)Nc1nnc(SCc2ccc(Br)cc2)s1,Ki,nM,217
86860,Fc1ccc(CSc2nnc(NC(=O)c3ccc(Cl)cc3)s2)cc1,Ki,nM,200
86861,Fc1ccc(CSc2nnc(NC(=O)c3ccccc3Cl)s2)cc1,Ki,nM,900
86862,Fc1ccc(cc1)C(=O)Nc1nnc(SCc2cccc(Cl)c2)s1,Ki,nM,247
86863,Fc1cccc(CSc2nnc(NC(=O)c3ccc(Cl)cc3)s2)c1,Ki,nM,64
86864,COc1ccc(CSc2nnc(NC(=O)c3ccc(Cl)cc3)s2)cc1,Ki,nM,199
86865,COc1ccc(CSc2nnc(NC(=O)c3ccccc3Cl)s2)cc1,Ki,nM,272
86866,Clc1cccc(CSc2nnc(NC(=O)c3ccccc3Cl)s2)c1,Ki,nM,169
86867,Fc1ccc(cc1)C(=O)Nc1nnc(SCc2cccc(F)c2)s1,Ki,nM,569
86868,Fc1ccc(cc1)C(=O)Nc1nnc(SCc2ccc(Br)cc2)s1,Ki,nM,221
86870,[O-][N+](=O)c1ccc(CSc2nnc(NC(=O)c3ccc(F)cc3)s2)cc1,Ki,nM,170
86871,Clc1ccc(cc1)C(=O)Nc1nnc(SCc2ccccc2)s1,Ki,nM,334
86872,COc1ccc(CSc2nnc(NC(=O)c3ccc(F)cc3)s2)cc1,Ki,nM,263
86873,Clc1ccccc1C(=O)Nc1nnc(SCc2ccc(Br)cc2)s1,Ki,nM,522
86874,Clc1ccc(cc1)C(=O)Nc1nnc(SCc2cccc(Cl)c2)s1,Ki,nM,195
86875,Fc1ccc(cc1)C(=O)Nc1nnc(SCc2ccccc2)s1,Ki,nM,464
332698,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(CN4CCN(C)CC4)c(c3)C(F)(F)F)cc2)ccn1,Ki,nM,36.0
332699,CN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4ccncc4)cc3)cc2C(F)(F)F)CC1,Ki,nM,28.0
332700,CN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4ccc5ncncc5c4)cc3)cc2C(F)(F)F)CC1,Ki,nM,120
332702,CN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4ccc5ncccc5c4)cc3)cc2C(F)(F)F)CC1,Ki,nM,216
332705,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccc4ncncc4c3)cc2)n(n1)-c1ccc2ncccc2c1,Ki,nM,518
332706,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccc4cccnc4c3)cc2)n(n1)-c1ccc2ncccc2c1,Ki,nM,143
50005012,Nc1ncnc2n(nc(-c3ccc(Cl)cc3)c12)-c1cccc(c1)-c1cn(CCCCCC(=O)NO)nn1,Ki,nM,371
50005013,Nc1ncnc2n(nc(-c3ccc(Cl)cc3)c12)-c1cccc(c1)-c1cnnn1CCCCCCC(=O)NO,Ki,nM,190
50005015,Nc1ncnc2n(nc(-c3ccc(Cl)cc3)c12)-c1cccc(c1)-c1cnnn1CCCCCCCC(=O)NO,Ki,nM,407
50005017,Nc1ncnc2n(nc(-c3ccc(Cl)cc3)c12)-c1ccccc1,Ki,nM,605
50067537,"[H][C@]1(C(C)O)C2CCC(CC2)[C@@H]1Nc1nc(ncc1F)-c1c[nH]c2ncc(F)cc12 |r,wD:11.13,1.0,TLB:2:1:7.6:9.10,THB:12:11:7.6:9.10,(-.64,1.54,;.13,.87,;1.58,1.51,;1.76,2.72,;2.54,.74,;1.38,,;2.86,.48,;2.23,-.94,;,-.67,;-.29,-2.25,;1.15,-1.65,;-1.3,.28,;-2.82,.5,;-3.77,-.71,;-3.2,-2.14,;-4.15,-3.35,;-5.67,-3.13,;-6.25,-1.7,;-5.29,-.49,;-5.75,.65,;-3.58,-4.78,;-4.4,-6.03,;-3.42,-7.22,;-2,-6.66,;-.62,-7.36,;.67,-6.49,;.57,-4.96,;1.59,-4.27,;-.83,-4.26,;-2.1,-5.13,)|",Ki,nM,970
