Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
50234948,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(N)=O)[C@H](C)CCC(=O)N[C@H](CC(O)=O)Cc1c[nH]c2ccccc12 |r|,Ki,nM,800
50234957,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)N[C@H](CC(O)=O)Cc1c[nH]c2ccccc12 |r|,Ki,nM,400
50538238,CC(C)[C@H](NC(=O)[C@@H](CC(O)=O)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CN(C)C(=O)CN(C)C(=O)CN(C)C(=O)CN(C)CC(=O)N(C)CC(=O)N(C)CC(=O)N(C)CC(=O)N(C)CC(=O)N(C)CC(=O)N(C)C(=O)CCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CSCc2cc3CSC[C@@H](NC(=O)[C@@H](CC(O)=O)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCCNC(N)=N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H]4CCCN4C(=O)[C@H](CSCc(c3)c2)NC(=O)[C@H](Cc2cccc3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)C(C)(C)NC(=O)CNC(=O)[C@H](Cc2cccc3ccccc23)NC(=O)C(C)(C)NC1=O)C(C)(C)C)C(N)=O |r|,Ki,nM,2.8
50538239,[H][C@@]12CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CC(C)C)NC(=O)[C@]1([H])CSCCC(=O)N3CN(CN(C3)C(=O)CCSC[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](C)N)C(=O)N3CCC[C@@]3([H])C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(C)C)C(=O)N1)C(=O)CCSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@H](Cc1c[nH]c3ccccc13)NC(=O)CNC2=O)[C@@H](C)O)C(=O)N[C@@H](C)C(N)=O |r|,Ki,nM,5.8
50538240,[H][C@@]12CCCN1C(=O)[C@H](CSCCC(=O)N1CN3CN(C1)C(=O)CCSC[C@]([H])(NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC2=O)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CSCCC3=O)C(=O)N[C@@H](C)C(N)=O)NC(=O)[C@H](C)N |r|,Ki,nM,115
50538241,[H][C@@]12CCCN1C(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CCSC)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](CSCCC(=O)N1CN3CN(C1)C(=O)CCSC[C@]([H])(NC2=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CSCCC3=O)C(=O)N[C@@H](C)C(N)=O)NC(=O)[C@H](C)N |r|,Ki,nM,82
50538244,[H][C@@]12CCCN1C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](C)NC(=O)[C@]1([H])CSCCC(=O)N3CN(CN(C3)C(=O)CCSC[C@H](NC(=O)[C@H](C)N)C(=O)N3CCC[C@@]3([H])C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N1)C(=O)CCSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@@]([H])(NC(=O)[C@H](CC(O)=O)NC2=O)[C@@H](C)O)[C@@H](C)CC)C(=O)N[C@@H](C)C(N)=O |r|,Ki,nM,160
50538245,[H][C@@]12CCCN1C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](C)NC(=O)[C@]1([H])CSCCC(=O)N3CN(CN(C3)C(=O)CCSC[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@@]([H])([C@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N1)C(=O)CCSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@@]([H])(NC(=O)[C@H](CC(O)=O)NC2=O)[C@@H](C)O)[C@@H](C)CC)C(=O)N[C@@H](C)C(N)=O |r|,Ki,nM,815
50538246,[H][C@]12CSCCC(=O)N3CN(CN(C3)C(=O)CCSC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](C)NC1=O)C(C)C)C(=O)N[C@@H](C)C(N)=O)C(=O)CCSC[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@]([H])([C@@H](C)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N2 |r|,Ki,nM,223
50538247,[H][C@@]12CSCCC(=O)N3CN(CN(C3)C(=O)CCSC[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1)C(=O)CCSC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCSC)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC2=O)C(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCCNC(N)=N)C(N)=O |r|,Ki,nM,39
