Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
220,OC(=O)C[C@H](NC(=O)c1ccc(CNS(=O)(=O)c2ccc(O)c(c2)C(O)=O)cc1)C=O |r|,Ki,nM,160.0
10246,CC(C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(O)=O)NC(C)=O)C(=O)N[C@@H](CC(O)=O)C=O |r|,Ki,nM,18.0
10355,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(C)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C=O |r|,Ki,nM,0.7
12058,Cc1cccc(Oc2ccccc2S(=O)(=O)N[C@@H](CC(O)=O)C=O)c1 |r|,Ki,nM,430.0
12061,Cc1cc(Oc2ccccc2S(=O)(=O)N[C@@H](CC(O)=O)C=O)cc(C)c1C |r|,Ki,nM,450.0
12062,CC(C)c1cccc(Oc2ccccc2S(=O)(=O)N[C@@H](CC(O)=O)C=O)c1 |r|,Ki,nM,410.0
12063,CC(C)c1ccc(Oc2ccccc2S(=O)(=O)N[C@@H](CC(O)=O)C=O)cc1 |r|,Ki,nM,620.0
12064,CC(C)c1ccc(Oc2ccccc2S(=O)(=O)N[C@@H](CC(O)=O)C=O)cc1C |r|,Ki,nM,110.0
12065,CCC(C)c1ccc(Oc2ccccc2S(=O)(=O)N[C@@H](CC(O)=O)C=O)cc1 |r|,Ki,nM,490.0
12066,CCC(C)c1ccc(Oc2ccccc2S(=O)(=O)N[C@@H](CC(O)=O)C=O)cc1C |r|,Ki,nM,100.0
12067,CCC(CC)c1ccc(Oc2ccccc2S(=O)(=O)N[C@@H](CC(O)=O)C=O)cc1 |r|,Ki,nM,440.0
12068,OC(=O)C[C@H](NS(=O)(=O)c1ccccc1Oc1ccc(cc1)C1CCCC1)C=O |r|,Ki,nM,880.0
12069,OC(=O)C[C@H](NS(=O)(=O)c1ccccc1Oc1ccc(cc1)C1CCCCC1)C=O |r|,Ki,nM,900.0
12070,OC(=O)C[C@H](NS(=O)(=O)c1ccccc1Oc1ccc(cc1)-c1ccccc1)C=O |r|,Ki,nM,290.0
12197,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(C)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C(=O)CCCCCc1ccccc1 |r|,Ki,nM,11.0
166683,"C[C@]12CC=C3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)CN1CCN(CC1)c1cc(nc(n1)N1CCCC1)N1CCCC1 |r,c:3,12,t:8|",Ki,nM,50.0
50058526,OC(=O)COc1ccc(cc1)C(=O)N[C@H]1CCC(=O)N2CCC[C@H](N2C1=O)C(=O)N[C@@H](CC(O)=O)C=O,Ki,nM,1.0
50058527,CC(C)[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C(O)=O,Ki,nM,6.0
50058528,OC(=O)C[C@H](NC(=O)[C@@H]1CCCN2N1C(=O)[C@H](CCC2=O)NC(=O)c1ccccc1)C=O,Ki,nM,5.0
50058529,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C(O)=O,Ki,nM,15.0
50058530,OC(=O)C[C@H](NC(=O)[C@@H]1CCCN2N1C(=O)[C@H](CCC2=O)NC(=O)c1ccccc1F)C=O,Ki,nM,1.0
