Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
2579,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13 |r|,IC50,nM,1.5
2579,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13 |r|,IC50,nM,3.8
8727,"N[C@]1(C[C@](O)(C1)C1CC1)c1ccc(cc1)-c1nc2ccc3nnc(C4NCNN4)n3c2cc1-c1ccccc1 |r,wU:3.3,wD:3.6,1.0,(13.13,-7.57,;11.8,-6.8,;12.89,-5.71,;11.8,-4.62,;11.03,-3.29,;10.71,-5.71,;12.57,-3.29,;13.9,-2.52,;12.57,-1.75,;10.46,-7.57,;10.46,-9.11,;9.13,-9.88,;7.8,-9.11,;7.8,-7.57,;9.13,-6.8,;6.46,-9.88,;5.13,-9.11,;3.8,-9.88,;2.46,-9.11,;1.13,-9.88,;1.13,-11.42,;-.02,-12.45,;.61,-13.86,;2.14,-13.7,;3.23,-14.79,;4.76,-14.63,;5.39,-16.03,;4.24,-17.06,;2.91,-16.29,;2.46,-12.19,;3.8,-11.42,;5.13,-12.19,;6.46,-11.42,;7.8,-12.19,;7.8,-13.73,;9.13,-14.5,;10.46,-13.73,;10.46,-12.19,;9.13,-11.42,)|",IC50,nM,0.7
9048,"N[C@]1(C[C@](O)(C1)C1CC1)c1ccc(cc1)-c1nc2ccc3nnc(C(F)F)n3c2cc1-c1ccccc1 |r,wU:3.6,1.0,wD:3.3,(13.13,-7.57,;11.8,-6.8,;10.71,-5.71,;11.8,-4.62,;12.57,-3.29,;12.89,-5.71,;11.03,-3.29,;9.69,-2.52,;11.03,-1.75,;10.46,-7.57,;10.46,-9.11,;9.13,-9.88,;7.8,-9.11,;7.8,-7.57,;9.13,-6.8,;6.46,-9.88,;5.13,-9.11,;3.8,-9.88,;2.46,-9.11,;1.13,-9.88,;1.13,-11.42,;-.02,-12.45,;.61,-13.86,;2.14,-13.7,;3.23,-14.79,;2.83,-16.27,;4.72,-14.39,;2.46,-12.19,;3.8,-11.42,;5.13,-12.19,;6.46,-11.42,;7.8,-12.19,;7.8,-13.73,;9.13,-14.5,;10.46,-13.73,;10.46,-12.19,;9.13,-11.42,)|",IC50,nM,0.34
11817,CN(C)c1ccc(O)c(c1)C(=O)c1ccc(cc1)C(=O)N[C@@H]1CCCNC[C@H]1NC(=O)c1ccncc1 |r|,IC50,nM,23
11818,CC1(C)CCCNC1c1ccc(O)c(C(=O)c2ccc(cc2)C(=O)N[C@@H]2CCCNC[C@H]2NC(=O)c2ccncc2)c1F |r|,IC50,nM,750
11819,Oc1ccc(cc1C(=O)c1ccc(cc1)C(=O)N[C@@H]1CCCNC[C@H]1NC(=O)c1ccncc1)N1CCCCC1 |r|,IC50,nM,20
11820,CC1(C)CCCN(C1)c1ccc(O)c(c1)C(=O)c1ccc(cc1)C(=O)N[C@@H]1CCCNC[C@H]1NC(=O)c1ccncc1 |r|,IC50,nM,20
11821,CC1(C)CCN(CC1)c1ccc(O)c(c1)C(=O)c1ccc(cc1)C(=O)N[C@@H]1CCCNC[C@H]1NC(=O)c1ccncc1 |r|,IC50,nM,40
11822,COc1ccc(O)c(C(=O)c2ccc(cc2)C(=O)O[C@@H]2CCCNC[C@H]2NC(=O)c2ccncc2)c1F |r|,IC50,nM,5
11823,COc1ccc(O)c(C(=O)c2ccc(cc2)C(=O)N[C@@H]2CCCNC[C@H]2NC(=O)c2ccncc2)c1F |r|,IC50,nM,4.0
11824,COc1ccc(O)c(C(=O)c2ccc(CO[C@@H]3CCCNC[C@H]3NC(=O)c3ccncc3)cc2)c1F |r|,IC50,nM,355
11827,COc1ccc(O)c(C(=O)c2ccc(\C=C\[C@@H]3CCCNC[C@H]3NC(=O)c3ccncc3)cc2)c1F |r|,IC50,nM,160
14047,CCn1c(nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc12)-c1nonc1N,IC50,nM,955
15021,N[C@H](COc1cncc(\C=C\c2ccncc2)c1)Cc1ccccc1 |r|,IC50,nM,690
15022,N[C@H](COc1cncc(\C=C\c2ccncc2)c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,14
15022,N[C@H](COc1cncc(\C=C\c2ccncc2)c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,360
15023,N[C@H](COc1cncc(c1)C#Cc1ccncc1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,210
15037,N[C@H](COc1cncc(c1)-c1ccncc1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,245
15037,N[C@H](COc1cncc(c1)-c1ccncc1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,260
15050,CC(=O)Nc1ccc(cc1)-c1cncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)c1 |r|,IC50,nM,227
15062,N[C@H](COc1cnc2ccc(cc2c1)-c1ccncc1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,300
15064,N[C@H](CNc1cncc(Oc2cccc3cnccc23)c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,210
15065,N[C@H](CNc1cncc(Nc2cccc3cnccc23)c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,270
15066,N[C@H](COc1cncc2nc(ccc12)-c1ccncc1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,190
15067,N[C@H](COc1cncc(c1)-c1ccc2cnccc2c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,1.3
15067,N[C@H](COc1cncc(c1)-c1ccc2cnccc2c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,2
15068,N[C@@H](COc1cncc(c1)-c1ccc2cnccc2c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,26
15077,N[C@H](COc1cncc(\C=C\c2ccncc2)c1)C(c1ccccc1)c1ccccc1 |r|,IC50,nM,273
15081,N[C@H](COc1cncc(\C=C\c2ccncc2)c1)Cc1cccc(O)c1 |r|,IC50,nM,875
15082,N[C@H](COc1cncc(\C=C\c2ccncc2)c1)Cc1cccc(c1)C#N |r|,IC50,nM,320
15083,N[C@H](COc1cncc(\C=C\c2ccncc2)c1)Cc1cccc2ccccc12 |r|,IC50,nM,324
15084,N[C@H](COc1cncc(\C=C\c2ccncc2)c1)Cc1ccc2ccccc2c1 |r|,IC50,nM,146
15085,N[C@H](COc1cncc(\C=C\c2ccncc2)c1)Cc1csc2ccccc12 |r|,IC50,nM,142
15087,N[C@@H](COc1cncc(\C=C\c2ccncc2)c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,360
15088,N[C@H](COc1cnc(Cl)c(\C=C\c2ccncc2)c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,23
15089,N[C@H](COc1cc(\C=C\c2ccncc2)cnc1Cl)Cc1c[nH]c2ccccc12 |r|,IC50,nM,273
15090,Cn1cc(C[C@H](N)COc2cncc(\C=C\c3ccncc3)c2)c2ccccc12 |r|,IC50,nM,500
15094,N[C@H](CCc1cnc(Cl)c(\C=C\c2ccncc2)c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,198
15095,N[C@H](CNc1cnc(Cl)c(\C=C\c2ccncc2)c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,19
15095,N[C@H](CNc1cnc(Cl)c(\C=C\c2ccncc2)c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,79
15096,N[C@H](CNc1cnc(Cl)c(\C=C\c2ccncc2)c1)CC1CNc2ccccc12 |r|,IC50,nM,79
15097,N[C@H](CNc1cncc(\C=C\c2ccncc2)c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,9.7
15098,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1cncc(\C=C\c2ccncc2)c1 |r|,IC50,nM,278
15101,N[C@@H](Cc1cccc2ccccc12)C(=O)Nc1cncc(\C=C\c2ccncc2)c1 |r|,IC50,nM,668
15103,NCC(c1ccccc1)c1cncc(\C=C\c2ccncc2)c1,IC50,nM,284
15104,Cn1cc(C(CN)c2cncc(\C=C\c3ccncc3)c2)c2ccccc12,IC50,nM,760
15115,N[C@H](COc1cncc(\C=C\c2ccnc(N)c2)c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,121
15116,CNc1cc(\C=C\c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccn1 |r|,IC50,nM,176
15117,CCNc1cc(\C=C\c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccn1 |r|,IC50,nM,163
15118,N[C@H](COc1cncc(\C=C\c2ccnc(NC3CC3)c2)c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,69
15119,N[C@H](COc1cncc(\C=C\c2ccnc(NCc3ccccc3)c2)c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,147
15131,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)c1 |r|,IC50,nM,0.16
15138,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccccc2)c1 |r|,IC50,nM,125
15138,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccccc2)c1 |r|,IC50,nM,14
15149,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(cc2)-c2nc3ccccc3nc2-c2ccccc2)CC1,IC50,nM,290
15152,Cc1nc(-c2ccc(CN3CCC(CC3)n3c4ccccc4[nH]c3=O)cc2)c([nH]c1=O)-c1ccccc1,IC50,nM,760
15162,OC(=O)c1ccc2nc(-c3ccc(CN4CCC(CC4)n4c5ccccc5[nH]c4=O)cc3)c(nc2c1)-c1ccccc1,IC50,nM,240
15163,OC(=O)c1ccc2nc(-c3ccccc3)c(nc2c1)-c1ccc(CN2CCC(CC2)n2c3ccccc3[nH]c2=O)cc1,IC50,nM,166
15164,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(cc2)-c2nc3ccc(cc3nc2-c2ccccc2)-c2nnn[nH]2)CC1,IC50,nM,63
15165,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(cc2)-c2nc3cc(ccc3nc2-c2ccccc2)-c2nnn[nH]2)CC1,IC50,nM,20
15167,Cn1nnc(n1)-c1ccc2nc(-c3ccccc3)c(nc2c1)-c1ccc(CN2CCC(CC2)n2c3ccccc3[nH]c2=O)cc1,IC50,nM,55
15168,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(cc2)-c2nc3cc4cn[nH]c4cc3nc2-c2ccccc2)CC1,IC50,nM,85
15169,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(cc2)-c2nc3cc4[nH]cnc4cc3nc2-c2ccccc2)CC1,IC50,nM,58
15170,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(cc2)-c2nc3ccccc3cc2-c2ccccc2)CC1,IC50,nM,365
15172,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(cc2)-c2ncc(cc2-c2ccccc2)C#N)CC1,IC50,nM,762
15174,Fc1ccc2nc([nH]c2c1)C1CCN(Cc2ccc(cc2)-c2ncc(cc2-c2ccccc2)C#N)CC1,IC50,nM,865
15179,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(cc2)-c2ncc(cc2-c2ccccc2)-c2nnn[nH]2)CC1,IC50,nM,273
15180,C(NCc1ccc(cc1)-c1ncc(cc1-c1ccccc1)-c1nnn[nH]1)c1ccc(cc1)-c1csnn1,IC50,nM,177
15181,Fc1ccc2nc([nH]c2c1)C1CCN(Cc2ccc(cc2)-c2ncc(cc2-c2ccccc2)-c2nnn[nH]2)CC1,IC50,nM,239
15182,Cc1ccc2nc([nH]c2c1)C1CCN(Cc2ccc(cc2)-c2ncc(cc2-c2ccccc2)-c2nnn[nH]2)CC1,IC50,nM,763
16531,N[C@H](COc1cncc(c1)-c1ccc2NC(=O)\C(=C/c3ccco3)c2c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,0.17
16532,Cc1n[nH]c2cnc(cc12)-c1cncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)c1 |r|,IC50,nM,0.34
16533,N[C@H](COc1cncc(c1)-c1ccc2NC(=O)Cc2c1)Cc1ccccc1 |r|,IC50,nM,16
16534,N[C@H](COc1cncc(c1)-c1ccc2NC(=O)\C(=C/c3ccc[nH]3)c2c1)Cc1ccccc1 |r|,IC50,nM,0.6
16534,N[C@H](COc1cncc(c1)-c1ccc2NC(=O)\C(=C/c3ccc[nH]3)c2c1)Cc1ccccc1 |r|,IC50,nM,16
16535,N[C@H](COc1cncc(c1)-c1ccc2NC(=O)\C(=C\c3ccco3)c2c1)Cc1ccccc1 |r|,IC50,nM,1.4
16536,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cccc(F)c2)c1 |r|,IC50,nM,8.4
16537,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cccc(F)c2F)c1 |r|,IC50,nM,8.5
16538,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(F)cc2F)c1 |r|,IC50,nM,21.0
16539,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2c(F)cccc2F)c1 |r|,IC50,nM,65.5
16540,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(F)c(F)c2F)c1 |r|,IC50,nM,12
16541,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2c(F)cc(F)cc2F)c1 |r|,IC50,nM,31
16542,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccccc2Cl)c1 |r|,IC50,nM,29
16543,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cccc(Cl)c2)c1 |r|,IC50,nM,5.9
16544,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(Cl)cc2)c1 |r|,IC50,nM,11
16545,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccccc2Br)c1 |r|,IC50,nM,23
16546,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cccc(Br)c2)c1 |r|,IC50,nM,2.1
16547,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(Br)cc2)c1 |r|,IC50,nM,5.0
16548,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cccc(I)c2)c1 |r|,IC50,nM,0.9
16549,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(F)c(Cl)c2)c1 |r|,IC50,nM,3.1
16550,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(Cl)c(F)c2)c1 |r|,IC50,nM,3.6
16551,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cccc(Cl)c2Cl)c1 |r|,IC50,nM,5.6
16552,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(Cl)c(Cl)c2)c1 |r|,IC50,nM,1.8
16553,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cc(Cl)cc(Cl)c2)c1 |r|,IC50,nM,20.7
16554,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(Br)cc2F)c1 |r|,IC50,nM,10.0
16555,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(Br)c(F)c2)c1 |r|,IC50,nM,1.3
16556,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2c(F)cc(F)cc2Br)c1 |r|,IC50,nM,49
16557,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cc(F)ccc2C)c1 |r|,IC50,nM,3.9
16558,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(Br)c(C)c2)c1 |r|,IC50,nM,2.5
16559,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(F)c(C)c2)c1 |r|,IC50,nM,11
16560,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(F)cc2C)c1 |r|,IC50,nM,6.0
16561,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(C)c(F)c2)c1 |r|,IC50,nM,2.4
16562,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2c(C)cc(C)cc2C)c1 |r|,IC50,nM,39
16563,COc1ccc(F)cc1C[C@H](N)COc1cncc(c1)-c1ccc2[nH]nc(C)c2c1 |r|,IC50,nM,7.7
16564,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cccc(c2)C(F)(F)F)c1 |r|,IC50,nM,1.2
16565,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(cc2)C(F)(F)F)c1 |r|,IC50,nM,18
16566,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cc(cc(c2)C(F)(F)F)C(F)(F)F)c1 |r|,IC50,nM,57
16567,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(F)c(c2)C(F)(F)F)c1 |r|,IC50,nM,1.8
16568,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cc(F)cc(c2)C(F)(F)F)c1 |r|,IC50,nM,13.3
16569,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cc(ccc2F)C(F)(F)F)c1 |r|,IC50,nM,1.2
16570,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(c(F)c2)C(F)(F)F)c1 |r|,IC50,nM,3.1
16571,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(cc2F)C(F)(F)F)c1 |r|,IC50,nM,12.1
16572,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccccc2OC(F)(F)F)c1 |r|,IC50,nM,15.3
16573,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cccc(OC(F)(F)F)c2)c1 |r|,IC50,nM,3.3
16574,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(OC(F)(F)F)cc2)c1 |r|,IC50,nM,20.3
16575,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cccc(c2)-c2ccccc2)c1 |r|,IC50,nM,126
16576,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc3OCOc3c2)c1 |r|,IC50,nM,42
16577,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cccc3OC(F)(F)Oc23)c1 |r|,IC50,nM,14
16578,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc3OC(F)(F)C(F)(F)Oc3c2)c1 |r|,IC50,nM,13
16579,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cccc(OCCN3CCOCC3)c2)c1 |r|,IC50,nM,751
16580,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cccc(OCCC3CCNCC3)c2)c1 |r|,IC50,nM,290
16581,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cccc(OCC3CCNCC3)c2)c1 |r|,IC50,nM,6.8
16583,CN1CCC(COc2cccc(C[C@H](N)COc3cncc(c3)-c3ccc4[nH]nc(C)c4c3)c2)CC1 |r|,IC50,nM,78
16584,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cccc(OCCN)c2)c1 |r|,IC50,nM,47
16585,N[C@H](COc1cncc(c1)-c1cc2cn[nH]c2cn1)Cc1cccc(c1)C(F)(F)F |r|,IC50,nM,7.2
16586,N[C@H](COc1cncc(c1)-c1cc2c(Cl)n[nH]c2cn1)Cc1cccc(c1)C(F)(F)F |r|,IC50,nM,2.9
16587,Cc1n[nH]c2cnc(cc12)-c1cncc(OC[C@@H](N)Cc2cccc(c2)C(F)(F)F)c1 |r|,IC50,nM,0.6
16588,Cc1n[nH]c2cnc(cc12)-c1cncc(OC[C@@H](N)Cc2cccc(F)c2F)c1 |r|,IC50,nM,5
16783,N[C@H](COc1cncc(c1)-c1ccc2[nH]ncc2c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,1.5
16784,N[C@H](COc1cncc(c1)-c1ccc2[nH]nc(Cl)c2c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,1
16784,N[C@H](COc1cncc(c1)-c1ccc2[nH]nc(Cl)c2c1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,1.0
16785,N[C@H](COc1cncc(c1)-c1ccc2[nH]nc(c2c1)C(F)(F)F)Cc1c[nH]c2ccccc12 |r|,IC50,nM,1.8
16786,N[C@H](COc1cncc(c1)-c1cc2cn[nH]c2cc1[N+]([O-])=O)Cc1c[nH]c2ccccc12 |r|,IC50,nM,953
16787,N[C@H](COc1cncc(c1)-c1cc2cn[nH]c2cc1N)Cc1c[nH]c2ccccc12 |r|,IC50,nM,51
16788,N[C@H](COc1cncc(c1)-c1cc2c(Cl)n[nH]c2cc1N)Cc1c[nH]c2ccccc12 |r|,IC50,nM,7.1
16789,N[C@H](COc1cncc(c1)-c1cc2cn[nH]c2cn1)Cc1c[nH]c2ccccc12 |r|,IC50,nM,0.6
16790,N[C@H](COc1cncc(c1)-c1cc2cn[nH]c2cn1)Cc1ccccc1 |r|,IC50,nM,223
16791,Cc1n[nH]c2cnc(cc12)-c1cncc(OC[C@@H](N)Cc2ccccc2)c1 |r|,IC50,nM,14
