Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
25028,CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)-c2cccc3[nH]ncc23)CC1,Ki,nM,570
25045,Oc1cccc(c1)-c1nc(N2CCOCC2)c2oc3ncccc3c2n1,Ki,nM,19
92862,Cn1c2cnc3ccc(cc3c2n(-c2ccc(cc2)C(C)(C)C#N)c1=O)-c1cnc2ccccc2c1,Ki,nM,1.7
125254,Cc1nc(-c2cc(cnc2Nc2cccc3[nH]ncc23)C(F)(F)F)c2nc[nH]c2n1,Ki,nM,119
127348,COc1ccc(cn1)-c1ccc2ncc3[nH]c(=O)n(-c4ccc(cc4)C(C)(C)C#N)c3c2n1,Ki,nM,2.09
127350,Cc1ccc(cn1)-c1ccc2ncc3n(C)c(=O)n(-c4ccc(cc4)C(C)(C)C#N)c3c2n1,Ki,nM,26.9
127351,CN(C)c1ccc(cn1)-c1ccc2ncc3[nH]c(=O)n(-c4ccc(cc4)C(C)(C)C#N)c3c2n1,Ki,nM,4.26
127352,CN(C)c1ccc(cn1)-c1ccc2ncc3n(C)c(=O)n(-c4ccc(cc4)C(C)(C)C#N)c3c2n1,Ki,nM,4.67
127353,COc1ncc(cc1F)-c1ccc2ncc3[nH]c(=O)n(-c4ccc(cc4)C(C)(C)C#N)c3c2n1,Ki,nM,9.03
127354,COc1ncc(cc1F)-c1ccc2ncc3n(C)c(=O)n(-c4ccc(cc4)C(C)(C)C#N)c3c2n1,Ki,nM,26.6
127355,COc1ncc(cn1)-c1ccc2ncc3[nH]c(=O)n(-c4ccc(cc4)C(C)(C)C#N)c3c2n1,Ki,nM,1.54
127357,Cn1cc(cn1)-c1ccc2ncc3[nH]c(=O)n(-c4ccc(cc4)C(C)(C)C#N)c3c2n1,Ki,nM,15.5
127358,Cn1cc(cn1)-c1ccc2ncc3n(C)c(=O)n(-c4ccc(cc4)C(C)(C)C#N)c3c2n1,Ki,nM,40.2
