Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
12915,O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCOCC1,IC50,nM,940
15234,"[H][C@@]12CCC(=O)[C@@]1(C)C[C@@H](OC(C)=O)C1=C2C(=O)c2occ3c2[C@]1(C)[C@@H](COC)OC3=O |r,c:15|",IC50,nM,19
15234,"[H][C@@]12CCC(=O)[C@@]1(C)C[C@@H](OC(C)=O)C1=C2C(=O)c2occ3c2[C@]1(C)[C@@H](COC)OC3=O |r,c:15|",IC50,nM,5
21036,"COC[C@H]1OC(=O)C(=CN(C)CCCN(C)C)C2C(=O)C(=O)C3=C([C@@H](C[C@]4(C)[C@@H](O)CCC34)OC(C)=O)[C@@]12C |r,w:8.8,t:22|",IC50,nM,8
25018,Oc1cccc(c1)-c1nc(N2CCOCC2)c2sccc2n1,IC50,nM,660
25028,CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)-c2cccc3[nH]ncc23)CC1,IC50,nM,13
25036,CN(\N=C\c1cnc2ccc(Br)cn12)S(=O)(=O)c1cc(ccc1C)[N+]([O-])=O,IC50,nM,40
25045,Oc1cccc(c1)-c1nc(N2CCOCC2)c2oc3ncccc3c2n1,IC50,nM,2.50
25056,Cc1ccc(cc1S(=O)(=O)c1nc(cs1)-c1cnc2ccc(Cl)cn12)[N+]([O-])=O,IC50,nM,230
25058,COc1cc(O)cc(\C=C2/SC(=S)NC2=O)c1,IC50,nM,328
25058,COc1cc(O)cc(\C=C2/SC(=S)NC2=O)c1,IC50,nM,77.7
25059,O=C1NC(=S)S\C1=C/c1ccc2OCC(=O)N(Cc3ccccc3)c2c1,IC50,nM,23
25059,O=C1NC(=S)S\C1=C/c1ccc2OCC(=O)N(Cc3ccccc3)c2c1,IC50,nM,97
25060,Cc1ccc(CN2C(=O)COc3ccc(\C=C4/SC(=S)NC4=O)cc23)cc1,IC50,nM,124
25060,Cc1ccc(CN2C(=O)COc3ccc(\C=C4/SC(=S)NC4=O)cc23)cc1,IC50,nM,29.5
25061,CC(C)(C)c1ccc(CN2C(=O)COc3ccc(\C=C4/SC(=S)NC4=O)cc23)cc1,IC50,nM,10
25061,CC(C)(C)c1ccc(CN2C(=O)COc3ccc(\C=C4/SC(=S)NC4=O)cc23)cc1,IC50,nM,2.42
25062,Clc1ccc(CN2C(=O)COc3ccc(\C=C4/SC(=S)NC4=O)cc23)cc1,IC50,nM,30
25062,Clc1ccc(CN2C(=O)COc3ccc(\C=C4/SC(=S)NC4=O)cc23)cc1,IC50,nM,7.16
25063,O=C1NC(=S)S\C1=C/c1ccc2OCC(=O)N(Cc3ccc(cc3)C#N)c2c1,IC50,nM,152
25063,O=C1NC(=S)S\C1=C/c1ccc2OCC(=O)N(Cc3ccc(cc3)C#N)c2c1,IC50,nM,36.1
25064,FC(F)(F)c1ccc(CN2C(=O)COc3ccc(\C=C4/SC(=S)NC4=O)cc23)cc1,IC50,nM,116
25064,FC(F)(F)c1ccc(CN2C(=O)COc3ccc(\C=C4/SC(=S)NC4=O)cc23)cc1,IC50,nM,27.5
25065,Cc1cccc(CN2C(=O)COc3ccc(\C=C4/SC(=S)NC4=O)cc23)c1,IC50,nM,185
