Monomer_ID,SMILES,Affinity_Type,Affinity_Value
2449,C[C@@H](Nc1nc(Nc2ccc(cc2)S(=N)(=O)CCO)ncc1Br)C(C)(C)O |r|,IC50,4
2450,C[C@H](Nc1nc(Nc2ccc(cc2)S(=N)(=O)CCO)ncc1Br)C(C)(C)O |r|,IC50,4
2457,C[C@@H](O)[C@@H](C)Nc1nc(Nc2ccc(cc2)S(=N)(=O)CCO)ncc1Br |r|,IC50,3
2489,C[C@H](O)[C@@H](C)Nc1nc(Nc2ccc(cc2)S(=N)(=O)CCO)ncc1Br |r|,IC50,3
2491,COc1cc(Nc2ncc(Br)c(N[C@H](C)[C@@H](C)O)n2)ccc1S(C)(=N)=O |r|,IC50,4
2492,COc1cc(Nc2ncc(Br)c(N[C@H](C)[C@H](C)O)n2)ccc1S(C)(=N)=O |r|,IC50,3
2522,COc1cc(Nc2ncc(Br)c(N[C@H](C)[C@@H](C)O)n2)ccc1S(C)(=O)=NC |r|,IC50,4
2537,COc1cc(Nc2ncc(Br)c(N[C@H](C)[C@H](C)O)n2)ccc1S(C)(=O)=NC |r|,IC50,6
2544,COc1cc(Nc2ncc(Br)c(N[C@H](C)C(C)(C)O)n2)ccc1S(C)(=N)=O |r|,IC50,2
2546,C[C@H](Nc1nc(Nc2ccc(cc2)S(C)(=N)=O)ncc1Br)C(C)(C)O |r|,IC50,2
2553,C[C@H](O)[C@@H](C)Nc1nc(Nc2ccc(cc2)S(C)(=N)=O)ncc1Br |r|,IC50,2
2554,COC[C@@H](Nc1nc(Nc2ccc(cc2)S(C)(=N)=O)ncc1Br)[C@@H](C)O |r|,IC50,4
2556,COC[C@H](Nc1nc(Nc2ccc(cc2)S(C)(=N)=O)ncc1Br)[C@H](C)O |r|,IC50,6
2558,CCS(=N)(=O)c1ccc(Nc2ncc(Br)c(N[C@H](COC)[C@@H](C)O)n2)cc1 |r|,IC50,9
2559,CCS(=N)(=O)c1ccc(Nc2ncc(Br)c(N[C@@H](COC)[C@H](C)O)n2)cc1 |r|,IC50,9
2565,CCS(=N)(=O)c1ccc(Nc2ncc(Br)c(N[C@@H](C)[C@H](C)O)n2)cc1 |r|,IC50,4
2576,CCS(=N)(=O)c1ccc(Nc2ncc(Br)c(N[C@H](C)C(C)(C)O)n2)cc1 |r|,IC50,5
2577,CCS(=N)(=O)c1ccc(Nc2ncc(Br)c(N[C@@H](C)C(C)(C)O)n2)cc1 |r|,IC50,24
2578,C[C@@H](Nc1nc(Nc2ccc(c(C)c2)S(C)(=N)=O)ncc1Br)C(C)(C)O |r|,IC50,4
2579,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13 |r|,IC50,0.100000
2579,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13 |r|,IC50,0.600
