Monomer_ID,SMILES,Affinity_Type,Affinity_Value
2579,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13 |r|,Ki,2.9
2579,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13 |r|,Ki,4
5655,CN1CC[C@@H]([C@H](O)C1)c1c(O)cc(O)c2c1oc(cc2=O)-c1ccccc1Cl |r|,Ki,190
5655,CN1CC[C@@H]([C@H](O)C1)c1c(O)cc(O)c2c1oc(cc2=O)-c1ccccc1Cl |r|,Ki,40
5931,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,Ki,38
7262,[O-][N+](=O)c1ccc2[nH]c-3c(CC(=O)Nc4ccccc-34)c2c1,Ki,80
7266,Brc1ccc2[nH]c-3c(CC(=O)Nc4ccccc-34)c2c1,Ki,670
7393,O=Nc1c([nH]c2ccccc12)C1C(=O)Nc2ccccc12,Ki,590
7533,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1 |r|,Ki,250
8037,Cc1nc(C)c(s1)-c1ccnc(N)n1,Ki,396
8040,Cc1nc(C)c(s1)-c1ccnc(Nc2ccccc2)n1,Ki,80
8042,Cc1nc(C)c(s1)-c1ccnc(Nc2cccc(Cl)c2)n1,Ki,670
8045,Cc1nc(C)c(s1)-c1ccnc(Nc2cccc(F)c2)n1,Ki,100
8046,Cc1nc(C)c(s1)-c1ccnc(Nc2ccc(F)cc2)n1,Ki,40
8049,Cc1nc(C)c(s1)-c1ccnc(Nc2ccc(cc2)C(F)(F)F)n1,Ki,290
8050,Cc1nc(C)c(s1)-c1ccnc(Nc2cccc(O)c2)n1,Ki,60
8051,CNc1nc(C)c(s1)-c1ccnc(Nc2cccc(O)c2)n1,Ki,110
8053,Cc1nc(C)c(s1)-c1ccnc(Nc2ccc(O)cc2)n1,Ki,140
8054,CNc1nc(C)c(s1)-c1ccnc(Nc2ccc(O)cc2)n1,Ki,70
8055,Cc1nc(N)sc1-c1ccnc(Nc2ccc(O)cc2)n1,Ki,30
8056,Cc1nc(C)c(s1)-c1ccnc(Nc2cccc(c2)N(=O)=O)n1,Ki,110
8058,CN(C)c1nc(C)c(s1)-c1ccnc(Nc2cccc(c2)N(=O)=O)n1,Ki,60
8059,CNc1nc(C)c(s1)-c1ccnc(Nc2cccc(c2)N(=O)=O)n1,Ki,800
8060,Cc1nc(NCC=C)sc1-c1ccnc(Nc2cccc(c2)N(=O)=O)n1,Ki,160
8061,Cc1nc(N)sc1-c1ccnc(Nc2cccc(c2)N(=O)=O)n1,Ki,2
8064,Cc1nc(C)c(s1)-c1ccnc(Nc2cccc(N)c2)n1,Ki,400
8065,Cc1nc(C)c(s1)-c1ccnc(Nc2cccc(c2)C#N)n1,Ki,300
8066,CN(C)c1ccc(Nc2nccc(n2)-c2sc(C)nc2C)cc1,Ki,220
8066,CN(C)c1ccc(Nc2nccc(n2)-c2sc(C)nc2C)cc1,Ki,251
8067,CN(C)c1ccc(Nc2nccc(n2)-c2sc(C)nc2C)cc1N(=O)=O,Ki,20
8068,CN(C)c1ccc(Nc2nccc(n2)-c2sc(C)nc2C)cc1Cl,Ki,100
8069,CN(C)c1ccc(Nc2nccc(n2)-c2sc(N)nc2C)cc1,Ki,700
8070,Cc1c[nH]c(C)c1-c1ccnc(Nc2cccc(c2)N(=O)=O)n1,Ki,50
8071,Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2cccc(c2)N(=O)=O)n1,Ki,140
8072,Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2ccc(C)c(c2)N(=O)=O)n1,Ki,50
8073,Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2ccc(O)cc2)n1,Ki,50
8074,Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2cccc(O)c2)n1,Ki,30
8075,Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2ccc(C)c(O)c2)n1,Ki,130
8076,Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2ccc(F)c(C)c2)n1,Ki,90
8077,Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,Ki,100
8078,Cc1[nH]c(C(N)=O)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,Ki,80
8079,Cc1[nH]c(c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1)N(=O)=O,Ki,30
8080,Cc1[nH]c(Cl)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,Ki,360
8081,Cc1[nH]c(Br)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,Ki,270
