Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
4703,NS(=O)(=O)c1ccc(cc1)C(O)=O,IC50,nM,880.0
10017,NS(=O)(=O)Oc1ccc(CN(c2ccc(cc2)C#N)n2cnnc2)cc1,IC50,nM,27
10020,NS(=O)(=O)Oc1ccc(CN(c2ccc(cc2)C#N)n2cnnc2)cc1Br,IC50,nM,137
10857,Nc1ccc(cc1)S(N)(=O)=O,IC50,nM,256
10858,NNc1ccc(cc1)S(N)(=O)=O,IC50,nM,80
10859,Cc1ccc(cc1)S(N)(=O)=O,IC50,nM,580
10863,Nc1ccc(cc1Cl)S(N)(=O)=O,IC50,nM,560.0
10864,Nc1ccc(cc1Br)S(N)(=O)=O,IC50,nM,620
10866,Nc1cc(c(cc1S(N)(=O)=O)S(N)(=O)=O)C(F)(F)F,IC50,nM,340
10867,Nc1cc(Cl)c(cc1S(N)(=O)=O)S(N)(=O)=O,IC50,nM,90
10873,Nc1nccc(Nc2ccc(cc2)S(N)(=O)=O)n1,IC50,nM,89.0
10879,NNc1ccccc1S(N)(=O)=O,IC50,nM,80
10880,CC(=O)Nc1nnc(s1)S(N)(=O)=O,IC50,nM,440
10880,CC(=O)Nc1nnc(s1)S(N)(=O)=O,IC50,nM,6
10881,CC(=O)N=c1sc(nn1C)S(N)(=O)=O |w:3.2|,IC50,nM,4.8
10882,CCOc1ccc2nc(sc2c1)S(N)(=O)=O,IC50,nM,0.30
10883,NS(=O)(=O)c1cc(Cl)c(Cl)c(c1)S(N)(=O)=O,IC50,nM,38
10884,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(N)(=O)=O |r|,IC50,nM,0.230
10885,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O |r|,IC50,nM,3.2
10887,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1 |r|,IC50,nM,5
10890,NS(=O)(=O)c1ccc(cc1)S(=O)(=O)Nc1cccc2c(Cl)c[nH]c12,IC50,nM,7
11390,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(c3cccc(O)c3)S(=O)(=O)c2s1 |t:7|,IC50,nM,1.2
11391,COc1cccc(c1)N1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:18|,IC50,nM,1.3
11392,COCCCN1C[C@H](N)c2cc(sc2S1(=O)=O)S(N)(=O)=O |r|,IC50,nM,1.3
11393,COCCN(CCOC)CCN1C=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:12|,IC50,nM,0.91
11394,NS(=O)(=O)c1cc2C=CN(CCN3CCOCC3)S(=O)(=O)c2s1 |c:7|,IC50,nM,0.82
11395,CC(=O)N1CCN(CCN2C=Cc3cc(sc3S2(=O)=O)S(N)(=O)=O)CC1 |c:10|,IC50,nM,0.96
11396,CCCNCCN1C=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:7|,IC50,nM,2.25
11397,CN1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:10|,IC50,nM,1.66
11398,COCCN(C)CC1=Cc2cc(sc2S(=O)(=O)N1C)S(N)(=O)=O |t:7|,IC50,nM,1.17
11399,COCCN(CC=C)CC1=Cc2cc(sc2S(=O)(=O)N1C)S(N)(=O)=O |t:9|,IC50,nM,1.11
11400,CCN1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:11|,IC50,nM,1.11
11401,CCN1C(CN(CCOC)CCOC)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:13|,IC50,nM,1.04
11405,CCN1C(CN(CCO)CCO)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:11|,IC50,nM,0.96
11406,CCCN1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:12|,IC50,nM,1.24
11407,CCCN1C(CN(CCOC)CCOC)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:14|,IC50,nM,1.48
11408,CCCN1C(CNCC#C)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:9|,IC50,nM,1.52
11409,CC(C)N1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:12|,IC50,nM,1.46
11410,CC(C)N1C(CNCC#C)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:9|,IC50,nM,1.6
11411,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(CC=C)S(=O)(=O)c2s1 |t:7|,IC50,nM,0.99
11412,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(CC3CC3)S(=O)(=O)c2s1 |t:7|,IC50,nM,1.41
11413,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(C3CCCCC3)S(=O)(=O)c2s1 |t:7|,IC50,nM,0.79
11414,COCCN1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:13|,IC50,nM,5.58
11415,COCCN(CCOC)CC1=Cc2cc(sc2S(=O)(=O)N1CCOC)S(N)(=O)=O |t:10|,IC50,nM,4.41
11416,COCCCN1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:14|,IC50,nM,2.63
11417,COCCCN1C(CNC2CC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:12|,IC50,nM,3.12
11418,COCCCN1C(Cn2ccnc2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:13|,IC50,nM,2.23
11419,COc1ccc(CN2C(CN3CCOCC3)=Cc3cc(sc3S2(=O)=O)S(N)(=O)=O)cc1 |c:16|,IC50,nM,2.01
11421,COc1cccc(c1)N1C(CNCCO)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:15|,IC50,nM,1.16
11422,COc1ccc(cc1OC)N1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:20|,IC50,nM,1.05
11423,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(c3ccc(cc3)N3CCOCC3)S(=O)(=O)c2s1 |t:7|,IC50,nM,1.50
11424,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(CCCO)S(=O)(=O)c2s1 |t:7|,IC50,nM,1.62
11425,NS(=O)(=O)c1cc2C=C(CNCC#C)N(c3cccc(O)c3)S(=O)(=O)c2s1 |t:7|,IC50,nM,0.6
11426,CN1C(CN2CCOCC2)=Cc2sc(cc2S1(=O)=O)S(N)(=O)=O |c:10|,IC50,nM,2.52
11427,Cc1ccc(cc1)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,IC50,nM,3.9
11637,C[C@]12CCC3C(CCc4cc(OS(N)(=O)=O)ccc34)C1CCC2=O |r|,IC50,nM,23
11638,CCN1CCCC1CNC(=O)c1cc(ccc1OC)S(N)(=O)=O,IC50,nM,40
11639,Cc1ccc(cc1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F,IC50,nM,21
12578,OC(Cn1ccnc1)(P(O)(O)=O)P(O)(O)=O,IC50,nM,62
13057,CC1(C)O[C@H]2[C@@H]3OS(=O)(=O)O[C@@H]3CO[C@@]2(COS(N)(=O)=O)O1 |r|,IC50,nM,36
13058,NS(=O)(=O)Oc1ccc2c3CCCCCc3c(=O)oc2c1,IC50,nM,17
13062,NS(=O)(=O)Oc1ccc(cc1)C(c1ccc(OS(N)(=O)=O)cc1)n1cncn1,IC50,nM,22
13063,Cc1onc(c1-c1ccc(cc1)S(N)(=O)=O)-c1ccccc1,IC50,nM,43
13067,Cc1cc(C)n(n1)-c1ccc(cc1)S(N)(=O)=O,IC50,nM,21.4
13068,NS(=O)(=O)c1ccc(Sc2cccs2)s1,IC50,nM,0.89
13069,CCOC(=O)C(C)Oc1ccc(cc1)S(N)(=O)=O,IC50,nM,186.2
13070,Cc1cc(=O)n([nH]1)-c1ccc(cc1)S(N)(=O)=O,IC50,nM,489.8
13071,NS(=O)(=O)c1ccc(s1)-c1ccccn1,IC50,nM,117.5
