Monomer_ID,SMILES,Affinity_Type,pKi
7,CC1CCCCC1=O,Ki,6.377
200,CC(C)[C@H](NC(=O)N(C)Cc1ccccn1)C(=O)N[C@H](C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)N(C)Cc1ccccn1)C(C)C)Cc1ccccc1 |r|,Ki,7.77
4374,OC(=O)\C=C\c1ccc(O)cc1,Ki,6.009
4703,NS(=O)(=O)c1ccc(cc1)C(O)=O,Ki,7.481
7459,Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1,Ki,6.131
10855,Nc1ccccc1S(N)(=O)=O,Ki,11.523
10857,Nc1ccc(cc1)S(N)(=O)=O,Ki,11.523
10858,NNc1ccc(cc1)S(N)(=O)=O,Ki,11.523
10859,Cc1ccc(cc1)S(N)(=O)=O,Ki,6.495
10860,NCc1ccc(cc1)S(N)(=O)=O,Ki,11.222
10861,NCCc1ccc(cc1)S(N)(=O)=O,Ki,11.222
10862,Nc1ccc(cc1F)S(N)(=O)=O,Ki,10.77
10863,Nc1ccc(cc1Cl)S(N)(=O)=O,Ki,11.046
10864,Nc1ccc(cc1Br)S(N)(=O)=O,Ki,10.602
10865,Nc1ccc(cc1I)S(N)(=O)=O,Ki,10.854
10866,Nc1cc(c(cc1S(N)(=O)=O)S(N)(=O)=O)C(F)(F)F,Ki,7.208
10867,Nc1cc(Cl)c(cc1S(N)(=O)=O)S(N)(=O)=O,Ki,10.886
10868,Nc1nnc(s1)S(N)(=O)=O,Ki,10.77
10869,Cn1nc(sc1=N)S(N)(=O)=O,Ki,10.276
10870,Nc1ccc(cc1)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,8.699
10871,Nc1ccc(cc1)S(=O)(=O)NCc1ccc(cc1)S(N)(=O)=O,Ki,7.523
10872,Nc1ccc(cc1)S(=O)(=O)NCCc1ccc(cc1)S(N)(=O)=O,Ki,7.523
10873,Nc1nccc(Nc2ccc(cc2)S(N)(=O)=O)n1,Ki,10.081
10874,NS(=O)(=O)c1nc2ccc(O)cc2s1,Ki,9.903
10875,NS(=O)(=O)c1nnc(s1)-c1ccccc1Cl,Ki,8.959
10876,NS(=O)(=O)c1ccc(CO)cc1,Ki,11.097
10877,NS(=O)(=O)c1ccc(CCO)cc1,Ki,9.301
10879,NNc1ccccc1S(N)(=O)=O,Ki,7.108
10881,CC(=O)N=c1sc(nn1C)S(N)(=O)=O |w:3.2|,Ki,8.046
10882,CCOc1ccc2nc(sc2c1)S(N)(=O)=O,Ki,9.31
10883,NS(=O)(=O)c1cc(Cl)c(Cl)c(c1)S(N)(=O)=O,Ki,8.097
10884,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(N)(=O)=O |r|,Ki,9.955
10885,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O |r|,Ki,9.9
10886,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccccc2)s1,Ki,8.046
10887,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1 |r|,Ki,8.301
10888,NS(=O)(=O)Cc1noc2ccccc12,Ki,7.987
10889,COc1ccc(cc1C(=O)NCC1CCCN1C)S(N)(=O)=O,Ki,7.398
10890,NS(=O)(=O)c1ccc(cc1)S(=O)(=O)Nc1cccc2c(Cl)c[nH]c12,Ki,7.824
10891,CC(C)(C)c1ccc(cc1)C(=O)Nc1ccccc1S(N)(=O)=O,Ki,6.618
10892,CC(C)(C)c1ccc(cc1)C(=O)Nc1cccc(c1)S(N)(=O)=O,Ki,6.678
10893,CC(C)(C)c1ccc(cc1)C(=O)Nc1ccc(cc1)S(N)(=O)=O,Ki,6.876
10894,CC(C)(C)c1ccc(cc1)C(=O)NCc1ccc(cc1)S(N)(=O)=O,Ki,6.896
10895,CC(C)(C)c1ccc(cc1)C(=O)NCCc1ccc(cc1)S(N)(=O)=O,Ki,6.91
10896,CC(C)(C)c1ccc(cc1)C(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,7.745
10897,CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc1ccccc1S(N)(=O)=O,Ki,6.451
10898,CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc1cccc(c1)S(N)(=O)=O,Ki,6.693
10899,CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)S(N)(=O)=O,Ki,6.924
10900,CC(C)(C)c1ccc(cc1)S(=O)(=O)NCc1ccc(cc1)S(N)(=O)=O,Ki,6.983
10901,CC(C)(C)c1ccc(cc1)S(=O)(=O)NCCc1ccc(cc1)S(N)(=O)=O,Ki,7.027
10902,CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,7.824
11028,CC(=O)NC1CCc2cc(ccc12)S(N)(=O)=O,Ki,7.721
11029,CC(=O)NC1Cc2ccc(cc2C1)S(N)(=O)=O,Ki,9.0
11030,CCCC(CCC)C(=O)NC1CCc2cc(ccc12)S(N)(=O)=O,Ki,8.921
11031,CCCC(CCC)C(=O)NC1Cc2ccc(cc2C1)S(N)(=O)=O,Ki,9.046
11032,NS(=O)(=O)c1ccc2C(CCc2c1)NC(=O)C1CCCCC1,Ki,7.495
11033,NS(=O)(=O)c1ccc2CC(Cc2c1)NC(=O)C1CCCCC1,Ki,6.928
11034,NS(=O)(=O)c1ccc2C(CCc2c1)NC(=O)c1c(F)c(F)c(F)c(F)c1F,Ki,6.31
11035,NS(=O)(=O)c1ccc2CC(Cc2c1)NC(=O)c1c(F)c(F)c(F)c(F)c1F,Ki,8.174
11036,CCC(=O)NC1Cc2ccc(cc2C1)S(N)(=O)=O,Ki,8.0
11037,CCCC(=O)NC1Cc2ccc(cc2C1)S(N)(=O)=O,Ki,7.337
11038,CCCCC(=O)NC1Cc2ccc(cc2C1)S(N)(=O)=O,Ki,8.125
11039,CCCCCCCCCC(=O)NC1Cc2ccc(cc2C1)S(N)(=O)=O,Ki,6.893
11040,NS(=O)(=O)c1ccc(NC(=O)CCSSCCC(=O)Nc2ccc(cc2)S(N)(=O)=O)cc1,Ki,7.027
11041,NS(=O)(=O)c1ccc(NC(=O)CCS)cc1,Ki,7.569
11042,NS(=O)(=O)c1ccc(NC(=O)CCSSCCC(=O)Nc2ccc(cc2F)S(N)(=O)=O)c(F)c1,Ki,7.194
11043,NS(=O)(=O)c1ccc(NC(=O)CCS)c(F)c1,Ki,8.013
11044,NS(=O)(=O)c1ccc(NC(=O)CCSSCCC(=O)Nc2ccc(cc2Cl)S(N)(=O)=O)c(Cl)c1,Ki,7.409
11045,NS(=O)(=O)c1ccc(NC(=O)CCS)c(Cl)c1,Ki,8.051
11046,NS(=O)(=O)c1ccc(CCNC(=O)CCSSCCC(=O)NCCc2ccc(cc2)S(N)(=O)=O)cc1,Ki,7.149
11047,NS(=O)(=O)c1ccc(CCNC(=O)CCS)cc1,Ki,7.62
11048,NS(=O)(=O)c1nnc(NC(=O)CCSSCCC(=O)Nc2nnc(s2)S(N)(=O)=O)s1,Ki,7.215
11049,NS(=O)(=O)c1nnc(NC(=O)CCS)s1,Ki,8.041
11050,"Cn1nc(sc1=NC(=O)CCSSCCC(=O)N=c1sc(nn1C)S(N)(=O)=O)S(N)(=O)=O |w:6.7,17.17|",Ki,7.377
11051,Cn1nc(sc1=NC(=O)CCS)S(N)(=O)=O |w:6.7|,Ki,8.032
11053,NS(=O)(=O)c1ccc(NC(=O)c2ccccc2S)cc1,Ki,7.796
11055,NS(=O)(=O)c1ccc(CCNC(=O)c2ccccc2S)cc1,Ki,7.538
11325,ONC(=O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Ki,7.824
11327,ONC(=O)CNS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,Ki,8.097
11328,COc1ccc(cc1)S(=O)(=O)NCC(=O)NO,Ki,7.495
11329,ONC(=O)CN(Cc1ccccc1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Ki,7.071
11330,ONC(=O)CN(Cc1ccccc1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,Ki,7.444
11331,COc1ccc(cc1)S(=O)(=O)N(CC(=O)NO)Cc1ccccc1,Ki,6.921
11332,CC(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)NO,Ki,7.796
11333,CC(NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)NO,Ki,8.097
11334,COc1ccc(cc1)S(=O)(=O)NC(C)C(=O)NO,Ki,7.456
11335,CC(N(Cc1ccccc1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)NO,Ki,7.036
11336,CC(N(Cc1ccccc1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)NO,Ki,7.42
11337,COc1ccc(cc1)S(=O)(=O)N(Cc1ccccc1)C(C)C(=O)NO,Ki,6.921
11338,CC(C)C(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)NO,Ki,7.824
11339,CC(C)C(NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)NO,Ki,7.959
11340,COc1ccc(cc1)S(=O)(=O)NC(C(C)C)C(=O)NO,Ki,7.409
11341,CC(C)C(N(Cc1ccccc1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)NO,Ki,7.347
11342,CC(C)C(N(Cc1ccccc1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)NO,Ki,6.967
11344,CC(C)CC(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)NO,Ki,7.745
11345,CC(C)CC(NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)NO,Ki,7.959
11346,COc1ccc(cc1)S(=O)(=O)NC(CC(C)C)C(=O)NO,Ki,8.301
11347,CC(C)CC(N(Cc1ccccc1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)NO,Ki,6.936
11348,CC(C)CC(N(Cc1ccccc1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)NO,Ki,7.252
11350,ONC(=O)CN(Cc1ccccc1N(=O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Ki,7.0
11351,ONC(=O)CN(Cc1ccccc1N(=O)=O)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,Ki,7.131
11352,COc1ccc(cc1)S(=O)(=O)N(CC(=O)NO)Cc1ccccc1N(=O)=O,Ki,6.77
11353,ONC(=O)CN(Cc1ccc(cc1)N(=O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Ki,6.928
11354,ONC(=O)CN(Cc1ccc(cc1)N(=O)=O)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,Ki,6.971
11357,CC(N(Cc1ccccc1N(=O)=O)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)NO,Ki,6.796
11366,ONS(=O)(=O)C(F)(F)F,Ki,7.523
11367,ONS(=O)(=O)C(Cl)(Cl)Cl,Ki,6.824
11368,ONS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Ki,7.824
11369,ONS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Ki,8.046
11370,CN(C)S(=O)(=O)NO,Ki,7.398
11371,ONS(=O)(=O)Cc1ccccc1,Ki,6.721
11372,ONS(=O)(=O)c1ccccc1,Ki,7.585
11373,ONS(=O)(=O)c1ccc(F)cc1,Ki,7.721
11374,ONS(=O)(=O)c1ccc(Cl)cc1,Ki,7.678
11375,ONS(=O)(=O)c1ccc(Br)cc1,Ki,7.745
11376,ONS(=O)(=O)c1ccc(I)cc1,Ki,7.886
11377,Cc1ccc(cc1)S(=O)(=O)NO,Ki,7.155
11378,ONS(=O)(=O)c1ccc(cc1)N(=O)=O,Ki,8.046
11379,ONS(=O)(=O)c1cccc(c1)N(=O)=O,Ki,8.301
