Internal_ID,SMILES
1,CCCCCc1ccc(cc1)S(N)(=O)=O
2,Nc1ccccc1S(N)(=O)=O
3,Nc1ccc(cc1)S(N)(=O)=O
4,NNc1ccc(cc1)S(N)(=O)=O
5,Nc1cccc(c1)S(N)(=O)=O
6,CCCCc1ccc(cc1)S(N)(=O)=O
7,NCCCC(=O)Nc1cc(ccc1)S(N)(=O)=O
8,NCCCC(=O)Nc1ccccc1S(N)(=O)=O
9,NCCCC(=O)NNc1ccc(cc1)S(N)(=O)=O
10,NCc1ccc(cc1)S(N)(=O)=O
11,NCCc1ccc(cc1)S(N)(=O)=O
12,NS(=O)(=O)c1ccc(cc1)-c1c[n]c(o1)C(=O)N1CCOCC1
13,NS(=O)(=O)c1ccc(CO)cc1
14,NS(=O)(=O)c1ccc(cc1)C(=O)NC1OC(CO)C(O)C(O)C1O
15,NS(=O)(=O)c1ccc(cc1)C(=O)NC1OC(CO)C(O)C(O)C1O
16,NS(=O)(=O)c1ccc(cc1)C(=O)NC1OCC(O)C(O)C1O
17,NS(=O)(=O)c1ccc(cc1)C(=O)NC1OCC(O)C(O)C1O
18,COC(=O)C1OC(O)C(O)C(O)C1(O)S(=O)(=O)Nc1ccccc1C(N)=O
19,CC1OC(NC(=O)c2ccc(cc2)S(N)(=O)=O)C(O)C(O)C1O
20,NS(=O)(=O)c1ccc(cc1)C(=O)NC1OC(CO)C(O)C(O)C1O
21,NS(=O)(=O)c1ccc(cc1)C(=O)NC1OC(CO)C(O)C1O
22,NS(=O)(=O)c1ccc(cc1)-c1c[n]c(o1)C(=O)N1CCCC1
23,NCCCC(=O)Nc1ccc(cc1)S(N)(=O)=O
24,Nc1ccc(cc1Cl)S(N)(=O)=O
25,NS(=O)(=O)c1cc(c[s]1)-c1c[n]c(o1)C1CCC1
26,COc1ccc(cc1S(N)(=O)=O)-c1c[n]c(o1)C(=O)N1CCCC1
27,Cc1[n]cc(o1)-c1cc([s]c1)S(N)(=O)=O
28,NS(=O)(=O)c1ccc([s]1)-c1c[n]c(o1)C1CCC1
29,NS(=O)(=O)c1ccc([s]1)-c1c[n]c(o1)C(=O)N1CCCC1
30,Cc1ccc(cc1S(N)(=O)=O)-c1c[n]c(o1)C(=O)N1CCCC1
31,NS(=O)(=O)c1ccc(cc1)-c1c[n]c(o1)C1CC1
32,Nc1cc(Cl)c(cc1S(N)(=O)=O)S(N)(=O)=O
33,NCCCC(=O)OCc1ccc(cc1)S(N)(=O)=O
34,Nc1ccc(cc1I)S(N)(=O)=O
35,Nc1[n][n]c([s]1)S(N)(=O)=O
36,Nc1ccc(cc1F)S(N)(=O)=O
37,NCCCC(=O)Oc1cc2[s]c([n]c2cc1)S(N)(=O)=O
38,NS(=O)(=O)c1ccc(cc1)-c1c[n]c(o1)C1CCC1
39,NS(=O)(=O)c1ccc([s]1)-c1c[n]c(o1)C(=O)N1CCOCC1
40,NS(=O)(=O)c1cc(c[s]1)-c1c[n]c(o1)C(=O)N1CCCC1
41,Nc1ccc(cc1Br)S(N)(=O)=O
42,NS(=O)(=O)c1cc(c[s]1)-c1c[n]c(o1)C(=O)N1CCOCC1
43,CCCc1ccc(cc1)S(N)(=O)=O
44,Cc1[n][n](-c2ccc(cc2)S(N)(=O)=O)c(=O)c2ccccc21
45,NS(=O)(=O)c1cc(ccc1Cl)C(=O)CSc1[nH]c2c[n]c3ccccc3c2[n]1
46,NCCCC(=O)NCc1ccc(cc1)S(N)(=O)=O
47,NCCCC(=O)Nc1ccc(cc1Cl)S(N)(=O)=O
48,NCCCC(=O)NCCc1ccc(cc1)S(N)(=O)=O
49,NCCCC(=O)Nc1ccc(cc1Br)S(N)(=O)=O
50,Nc1c(cc(c(Cl)c1Cl)S(N)(=O)=O)S(N)(=O)=O
51,NCCCC(=O)Nc1ccc(cc1I)S(N)(=O)=O
52,NS(=O)(=O)c1ccc(CCNC(=O)C(Cc2ccc(O)c(Br)c2)=NO)cc1
53,CC(NS(=O)(=O)NC(=O)OCc1ccccc1)c1cc(ccc1OC)OC
54,Cc1[n]cc(o1)-c1ccc(cc1)S(N)(=O)=O
55,NS(=O)(=O)c1ccc(CCNC(=O)C(Cc2ccc(O)cc2)=NO)cc1
56,CCc1ccc(cc1)S(N)(=O)=O
57,COc1ccc(cc1S(N)(=O)=O)-c1c[n]c(o1)C(=O)N1CCOCC1
58,C[n]1[n]c([s]c1=N)S(N)(=O)=O
59,COc1ccccc1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1
60,NS(=O)(=O)c1ccc(cc1)-[n]1[n]cc(c(Cl)c1=O)N1CCCCCC1
61,NS(=O)(=O)c1ccc(cc1)N=c1[s]cc(-c2ccc[s]2)[n]1C1CCCCC1
62,NS(=O)(=O)c1ccc(cc1)-[n]1[n]cc(c(Cl)c1=O)N1CCOCC1
63,NS(=O)(=O)c1ccc(cc1)NS(=O)(=O)c1ccc(cc1)NC(=O)CCCN
64,NS(=O)(=O)c1cc(ccc1)NS(=O)(=O)c1ccc(cc1)NC(=O)CCCN
65,CN1C(CN(CCCOC)CCOC)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
66,NS(=O)(=O)c1ccc(cc1)-[n]1[n]cc(cc1=O)N1CCCCCC1
67,NS(=O)(=O)c1[n][n]c(NC(=O)C(Cc2ccccc2)=NOC2CCCCO2)[s]1
68,COc1ccc(cc1)C1CCC(=O)N(N=1)c1ccc(cc1)S(N)(=O)=O
69,COc1ccc(cc1OC)N1C(CN2CCOCC2)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
70,Nc1[n]c(cc[n]1)Nc1ccc(cc1)S(N)(=O)=O
71,COc1cc(C2CC(=NN2c2ccc(cc2)S(N)(=O)=O)c2ccccc2)c(cc1OC)OC
72,COc1c(cc(cc1OC)C1CC(=NN1c1ccc(cc1)S(N)(=O)=O)c1ccccc1)OC
73,COc1c(OC)c(ccc1OC)C1CC(=NN1c1ccc(cc1)S(N)(=O)=O)c1ccccc1
74,COc1c(cc(cc1OC)C1CC(=NN1c1ccc(cc1)S(N)(=O)=O)c1ccc(cc1)C(F)(F)F)OC
75,COc1ccc(C2CC(=NN2c2ccc(cc2)S(N)(=O)=O)c2ccc[s]2)c(OC)c1OC
76,COc1c(cc(cc1OC)C1CC(=NN1c1ccc(cc1)S(N)(=O)=O)c1ccc(Br)cc1)OC
77,COc1cc(C2CC(=NN2c2ccc(cc2)S(N)(=O)=O)c2ccc[s]2)c(cc1OC)OC
78,COc1c(cc(cc1OC)C1CC(=NN1c1ccc(cc1)S(N)(=O)=O)c1ccc(Cl)cc1)OC
79,COc1cc(C2CC(=NN2c2ccc(cc2)S(N)(=O)=O)c2ccc(cc2)C(F)(F)F)c(cc1OC)OC
80,COc1c(OC)c(ccc1OC)C1CC(=NN1c1ccc(cc1)S(N)(=O)=O)c1ccc(F)cc1
81,COc1cc(C2CC(=NN2c2ccc(cc2)S(N)(=O)=O)c2ccc(F)cc2)c(cc1OC)OC
82,COc1c(cc(cc1OC)C1CC(=NN1c1ccc(cc1)S(N)(=O)=O)c1ccc(F)cc1)OC
83,COc1c(OC)c(ccc1OC)C1CC(=NN1c1ccc(cc1)S(N)(=O)=O)c1ccc(cc1)C(F)(F)F
84,COc1c(OC)c(ccc1OC)C1CC(=NN1c1ccc(cc1)S(N)(=O)=O)c1ccc(Cl)cc1
85,COc1cc(C2CC(=NN2c2ccc(cc2)S(N)(=O)=O)c2ccc(Cl)cc2)c(cc1OC)OC
86,COc1cc(C2CC(=NN2c2ccc(cc2)S(N)(=O)=O)c2ccc(Br)cc2)c(cc1OC)OC
87,CC(NS(=O)(=O)NC(=O)OCc1ccccc1)c1ccc(OC)c(c1)OC
88,COc1c(OC)c(ccc1OC)C1CC(=NN1c1ccc(cc1)S(N)(=O)=O)c1ccc(Br)cc1
89,NS(=O)(=O)c1ccc(cc1)-[n]1[n]cc(NCc2ccccc2)c(Cl)c1=O
90,NCCCC(=O)Nc1[n]c(cc[n]1)Nc1ccc(cc1)S(N)(=O)=O
91,CCCN1C(CNCC#C)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
92,C[n]1[n]c([s]c1=NC(=O)CCCN)S(N)(=O)=O
93,NCCCC(=O)Nc1c(cc(c(Cl)c1Cl)S(N)(=O)=O)S(N)(=O)=O
94,CN1C(CN(CC=C)CCOC)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
95,NCCCC(=O)Nc1ccc(cc1F)S(N)(=O)=O
96,CC(NS(=O)(=O)NC(=O)OCc1ccccc1)c1c(cccc1OC)OC
97,COc1ccc(CN2C(CN3CCOCC3)=Cc3cc([s]c3S2(=O)=O)S(N)(=O)=O)cc1
98,COc1cc(ccc1)N1C(CNCCO)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
99,CC1CC(NCC)c2cc([s]c2S1(=O)=O)S(N)(=O)=O
100,Nc1ccc2[n]c([s]c2c1)S(N)(=O)=O
101,NCCCC(=O)Nc1cc(Cl)c(cc1S(N)(=O)=O)S(N)(=O)=O
102,NS(=O)(=O)c1cc(ccc1)NS(=O)(=O)c1ccc(N)cc1
103,COCCCN1C(C[n]2cc[n]c2)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
104,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(c3ccc(cc3)N3CCOCC3)S(=O)(=O)c2[s]1
105,NCCCC(=O)Nc1[n][n]c([s]1)S(N)(=O)=O
106,NS(=O)(=O)c1[n]c2ccc(O)cc2[s]1
107,CCNC1CN(CCCOC)S(=O)(=O)c2[s]c(cc21)S(N)(=O)=O
108,CC(NS(N)(=O)=O)c1c(cccc1OC)OC
109,CCNC1CC(CCC)S(=O)(=O)c2[s]c(cc21)S(N)(=O)=O
110,NS(=O)(=O)c1[n]c2ccc(cc2[s]1)OCCO
111,CCCN1C(CN(CCOC)CCOC)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
112,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(c3cccc(O)c3)S(=O)(=O)c2[s]1
113,CN(CCOC)CC1=Cc2cc([s]c2S(=O)(=O)N1C)S(N)(=O)=O
114,COc1cc(ccc1)N1C(CN2CCOCC2)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
115,COc1ccc(cc1)C(C)NS(=O)(=O)NC(=O)OCc1ccccc1
116,C=CCN1C(CN2CCOCC2)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
117,C#CCNCC1=Cc2cc([s]c2S(=O)(=O)N1c1cc(O)ccc1)S(N)(=O)=O
118,NS(=O)(=O)c1ccc(cc1)NS(=O)(=O)c1ccc(N)cc1
119,C[n]1[n]c([s]c1=NS(=O)(=O)c1ccc(N)cc1)S(N)(=O)=O
120,CC1CC(c2cc([s]c2S1(=O)=O)S(N)(=O)=O)N(CC)C(=O)CCCN
121,CCNC1CC(CCC)S(=O)(=O)c2[s]c(cc21)S(N)(=O)=O
122,CC(=O)N1N=C(CC1c1c(Cl)[n]([n]c1C)-c1ccc(cc1)S(N)(=O)=O)c1ccccc1
123,O
124,COc1ccccc1C(C)NS(N)(=O)=O
125,NS(=O)(=O)c1[n][n]c(NS(=O)(=O)c2ccc(cc2)-[n+]2ccccc2)[s]1
126,NS(=O)(=O)c1[n]c2ccc(cc2[s]1)NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F
127,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(CCCO)S(=O)(=O)c2[s]1
128,NS(=O)(=O)c1ccc(cc1)[N+]([O-])=O
129,NS(=O)(=O)c1[n][n]c(NS(=O)(=O)c2cc(F)c(N)c(Br)c2)[s]1
130,NCCCC(=O)NCCC(=O)Nc1[n][n]c([s]1)S(N)(=O)=O
131,NCCCC(=O)Nc1cc2[s]c([n]c2cc1)S(N)(=O)=O
132,Cc1cc(cc(C)[n+]1-c1ccc(cc1)S(=O)(=O)Nc1[n][n]c([s]1)S(N)(=O)=O)-c1ccccc1
133,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(F)cc1
134,CCN1C(CN2CCOCC2)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
135,COCCN1C(CN(CCOC)CCOC)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
136,CCN1C(CN(CCOC)CCOC)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
137,CN1C(CN2CCOCC2)=Cc2[s]c(cc2S1(=O)=O)S(N)(=O)=O
138,CCc1cc(cc(CC)[n+]1-c1ccc(cc1)S(=O)(=O)Nc1[n][n]c([s]1)S(N)(=O)=O)-c1ccccc1
139,CNc1ccc(cc1)S(N)(=O)=O
140,COCCN1C(CN2CCOCC2)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
141,NS(=O)(=O)c1ccc(cc1)-[n]1[n]cc2ccccc2c1=O
142,NS(=O)(=O)c1[n][n]c(NC(=O)Nc2cc(c(Cl)cc2)C(F)(F)F)[s]1
143,NS(=O)(=O)c1cc2C=CN(CC=CCN3CCOCC3)S(=O)(=O)c2[s]1
144,O=C(C=Cc1ccco1)c1ccc(cc1)N1C(=O)C2C3CC(C=C3)C2C1=O
145,O=C(C=Cc1cc(Cl)ccc1)c1ccc(cc1)N1C(=O)C2C3CC(C=C3)C2C1=O
146,O=C(C=Cc1ccc(Cl)cc1)c1ccc(cc1)N1C(=O)C2C3CC(C=C3)C2C1=O
147,Cc1ccccc1C=CC(=O)c1ccc(cc1)N1C(=O)C2C3CC(C=C3)C2C1=O
148,O=C(C=Cc1cc(Br)ccc1)c1ccc(cc1)N1C(=O)C2C3CC(C=C3)C2C1=O
149,O=C(C=Cc1ccccc1Br)c1ccc(cc1)N1C(=O)C2C3CC(C=C3)C2C1=O
150,O=C(C=Cc1cc[n]cc1)c1ccc(cc1)N1C(=O)C2C3CC(C=C3)C2C1=O
151,O=C(C=Cc1ccc[s]1)c1ccc(cc1)N1C(=O)C2C3CC(C=C3)C2C1=O
152,Cc1cc(ccc1)C=CC(=O)c1ccc(cc1)N1C(=O)C2C3CC(C=C3)C2C1=O
153,O=C(C=Cc1ccc(Br)cc1)c1ccc(cc1)N1C(=O)C2C3CC(C=C3)C2C1=O
154,Cc1ccc(cc1)C=CC(=O)c1ccc(cc1)N1C(=O)C2C3CC(C=C3)C2C1=O
155,COc1cc(ccc1)C=CC(=O)c1ccc(cc1)N1C(=O)C2C3CC(C=C3)C2C1=O
156,COc1ccc(cc1)C=CC(=O)c1ccc(cc1)N1C(=O)C2C3CC(C=C3)C2C1=O
157,O=C(C=Cc1ccccc1Cl)c1ccc(cc1)N1C(=O)C2C3CC(C=C3)C2C1=O
158,NCCCC(=O)OCCOc1cc2[s]c([n]c2cc1)S(N)(=O)=O
159,Cc1cc2c(cc1)[n]c(S)[n](-c1ccc(cc1)S(N)(=O)=O)c2=O
160,C[n]1[n]c([s]c1=NS(=O)(=O)c1ccc(cc1)NC(=O)CCCN)S(N)(=O)=O
161,CC(=O)N1CCN(CCN2C=Cc3cc([s]c3S2(=O)=O)S(N)(=O)=O)CC1
162,COCCCN1C(CN2CCOCC2)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
163,Cc1cc(C)[n+](-c2ccc(cc2)S(=O)(=O)Nc2[n][n]c([s]2)S(N)(=O)=O)c(C)c1
164,COCCCN1C(CNC2CC2)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
165,CC(=O)N1N=C(CC1c1c(Cl)[n]([n]c1C)-c1ccc(cc1)S(N)(=O)=O)c1ccc(Cl)cc1
166,NS(=O)(=O)c1ccc(cc1)N1N=C(CCC1=O)c1ccccc1
167,CN1C(CN2CCOCC2)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
168,CCCN1C(CN2CCOCC2)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
169,O=C(CSc1[n][n]c(Nc2ccccc2)[s]1)NN=Cc1ccc(o1)-c1ccc(Cl)cc1
170,Cc1ccc(cc1S(N)(=O)=O)-c1c[n]c(o1)C(=O)N1CCOCC1
171,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(Br)cc1
172,CCN1CCN(CC1)c1c[n][n](-c2ccc(cc2)S(N)(=O)=O)c(=O)c1Cl
173,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(Cl)cc1
174,C[n]1[n]c([s]c1=NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)S(N)(=O)=O
175,NS(=O)(=O)c1[n]c2ccc(cc2[s]1)OS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F
176,NS(=O)(=O)c1[n][n]c(NS(=O)(=O)c2cc(F)c(N)c(Cl)c2)[s]1
177,NS(=O)(=O)c1[n][n]c(NS(=O)(=O)c2cc(F)c(N)c(I)c2)[s]1
178,NS(=O)(=O)c1[n][n]c(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)[s]1
179,CC(C)c1cc(ccc1)NC(=O)Nc1ccc(cc1)S(N)(=O)=O
180,NS(=O)(=O)c1ccc(cc1)-c1[n]oc([n]1)-c1cc[n]cc1
181,CC(=O)N1N=C(CC1c1c(Cl)[n]([n]c1C)-c1ccc(cc1)S(N)(=O)=O)c1ccc(Br)cc1
182,Cc1cc(C)[n+](-c2ccc(cc2)S(=O)(=O)Nc2[n][n]c([s]2)S(N)(=O)=O)c(C)c1C
183,CCC1CC(NCC)c2cc([s]c2S1(=O)=O)S(N)(=O)=O
184,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(CC3CC3)S(=O)(=O)c2[s]1
185,NS(=O)(=O)c1ccc(cc1)-[n]1cc(COc2cc[n]c([n]2)N2CCCCC2)[n][n]1
186,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(C3CCCCC3)S(=O)(=O)c2[s]1
187,NS(=O)(=O)c1ccc(cc1)-[n]1c(S)[n]c2c(cccc2Cl)c1=O
188,Cc1cc([n]c([n]1)N1CCN(CC1)CC)OCc1c[n]([n][n]1)-c1ccc(cc1)S(N)(=O)=O
189,NS(=O)(=O)c1cc2C=CN(CCN3CCOCC3)S(=O)(=O)c2[s]1
190,CCN1C(CN(CCO)CCO)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
191,CC(C)N1C(CN2CCOCC2)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
192,NCCC(=O)Nc1[n][n]c([s]1)S(N)(=O)=O
193,NCCCC(=O)OCCc1ccc(cc1)S(N)(=O)=O
194,COCCN(CCN1C=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O)CCOC
195,NS(=O)(=O)c1ccc(cc1)NC(=O)C(Cc1ccc(O)c(Br)c1)=NO
196,COc1c(OC)c2[n]c(S)[n](-c3ccc(cc3)S(N)(=O)=O)c(=O)c2cc1OC
197,CC(=O)C(=Cc1ccccc1Cl)C(=O)Nc1ccc(cc1)S(N)(=O)=O
198,NS(=O)(=O)c1cc(ccc1)-c1[n]oc([n]1)-c1c[s]cc1
199,COc1ccc(cc1C(C)NS(N)(=O)=O)OC
200,NS(O)(=O)=O
201,Cc1cc(C(C)C)[n+](-c2ccc(cc2)S(=O)(=O)Nc2[n][n]c([s]2)S(N)(=O)=O)c(C)c1
202,NS(=O)(=O)c1ccc(cc1)-c1[n]oc([n]1)-c1ccc[s]1
203,NS(=O)(=O)c1[n][n]c(NC(=O)CCNS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)[s]1
204,CC(=O)N1N=C(CC1c1ccc(cc1)[N+]([O-])=O)c1ccc(cc1)OS(N)(=O)=O
205,CC(=O)N1N=C(CC1c1cc(Cl)ccc1Cl)c1ccc(cc1)OS(N)(=O)=O
206,CC(=O)N1N=C(CC1c1ccccc1Cl)c1ccc(cc1)OS(N)(=O)=O
207,CC(=O)N1N=C(CC1c1ccccc1)c1ccc(cc1)OS(N)(=O)=O
208,CC(=O)N1N=C(CC1c1ccc(cc1)C(F)(F)F)c1ccc(cc1)OS(N)(=O)=O
209,CC(=O)N1N=C(CC1c1cc(ccc1)OS(N)(=O)=O)c1ccc(F)cc1
210,CC(=O)N1N=C(CC1c1ccc(cc1)OS(N)(=O)=O)c1ccc(cc1)OC
211,NS(=O)(=O)c1[n][n]c(N=Cc2cc(C=Nc3[n][n]c([s]3)S(N)(=O)=O)ccc2)[s]1
212,C[n]1[n]c([s]c1=NC(=O)CN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC(=O)N=c1[s]c([n][n]1C)S(N)(=O)=O)S(N)(=O)=O
213,CC(=O)Nc1cc(ccc1)-c1[n]oc([n]1)-c1ccc(cc1)S(N)(=O)=O
214,C[n]1[n]c([s]c1=NC(=O)CN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC(O)=O)CC(=O)N=c1[s]c([n][n]1C)S(N)(=O)=O)S(N)(=O)=O
215,NS(=O)(=O)c1ccc(cc1)Nc1c[s]c(Nc2ccc(cc2)S(N)(=O)=O)[n]1
216,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCN(CC1)C(=O)c1cc(F)ccc1
217,NS(=O)(=O)c1ccc(cc1)-c1[n]c([n]o1)-c1cc[n]cc1
218,O
219,NS(=O)(=O)c1ccc(cc1)-[n]1cc(COc2cc[n]c([n]2)N2CCOCC2)[n][n]1
220,NS(=O)(=O)c1ccc(cc1)-c1[n]oc([n]1)-c1ccc(cc1)C#N
221,C#CCN(CC#C)CCCCOc1ccc(cc1)S(N)(=O)=O
222,NS(=O)(=O)c1cc2cc(CN3CCSCC3)[s]c2[s]1
223,CCc1ccc(cc1)NCC(=O)NCc1ccc(cc1)S(N)(=O)=O
224,CC(=O)C(=Cc1ccc(cc1)OC)C(=O)Nc1ccc(cc1)S(N)(=O)=O
225,NS(=O)(=O)c1ccc(cc1)NC(=O)C(Cc1ccc(O)cc1)=NO
226,COc1ccc(cc1OC)C(C)NS(N)(=O)=O
227,NS(=O)(=O)c1ccc(cc1)Nc1[n]c(c[s]1)N1CCCCC1
228,CC(C)N1C(CNCC#C)=Cc2cc([s]c2S1(=O)=O)S(N)(=O)=O
229,NS(=O)(=O)c1cc(ccc1)NC=CC(=O)c1ccc(Br)cc1
230,NS(=O)(=O)c1ccc(cc1)NC=CC(=O)c1ccco1
231,NS(=O)(=O)c1cc(ccc1)NC=CC(=O)c1ccccc1
232,COc1cc(ccc1)-c1[n]oc([n]1)-c1ccc(cc1)S(N)(=O)=O
233,NS(=O)(=O)c1cc(ccc1)NC=CC(=O)c1ccc(Cl)cc1
234,NS(=O)(=O)c1ccc(cc1)NC=CC(=O)c1ccc[s]1
235,Cc1ccc(cc1)C(=O)C=CNc1cc(ccc1)S(N)(=O)=O
236,NS(=O)(=O)c1cc(ccc1)NC=CC(=O)c1cc2ccccc2cc1
237,NS(=O)(=O)c1ccc(cc1)NC=CC(=O)c1cc2ccccc2cc1
238,NS(=O)(=O)c1cc(ccc1)NC=CC(=O)c1ccc(cc1)[N+]([O-])=O
239,Cc1[n]c([n]o1)-c1ccc(cc1)S(N)(=O)=O
240,COc1ccc(cc1)C(=O)C=CNc1ccc(cc1)S(N)(=O)=O
241,Cc1ccc(cc1)C(=O)C=CNc1ccc(cc1)S(N)(=O)=O
242,NS(=O)(=O)c1ccc(cc1)NC=CC(=O)c1ccc(Br)cc1
243,NS(=O)(=O)c1ccc(cc1)NC=CC(=O)c1ccc(Cl)cc1
244,NS(=O)(=O)c1ccc(cc1)NC=CC(=O)c1ccc(F)cc1
245,COc1ccc(cc1)C(=O)C=CNc1cc(ccc1)S(N)(=O)=O
246,NS(=O)(=O)c1ccc(cc1)NC=CC(=O)c1ccc(cc1)[N+]([O-])=O
247,NS(=O)(=O)c1ccc(cc1)NC=CC(=O)c1ccccc1
248,NS(=O)(=O)c1cc(ccc1)NC=CC(=O)c1ccc[s]1
249,NS(=O)(=O)c1cc(ccc1)NC=CC(=O)c1ccco1
250,CCOc1cc2[s]c([n]c2cc1)S(N)(=O)=O
251,NS(=O)(=O)c1cc(CCNC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)OCc2ccccc2)ccc1
252,CC(CC)C(NC(=O)OC(C)(C)C)C(=O)NCCc1ccc(cc1)S(N)(=O)=O
253,NS(=O)(=O)c1[n]c2ccc(cc2[s]1)NC(=O)c1c(F)c(F)c(F)c(F)c1F
254,NS(=O)(=O)c1[n][n]c(NS(=O)(=O)c2cc(Cl)c(N)c(Cl)c2)[s]1
255,NS(=O)(=O)c1[n][n]c(NC(=O)CCNC(=O)CN(CC(O)=O)CCOCCOCCN(CC(O)=O)CC(=O)NCCC(=O)Nc2[n][n]c([s]2)S(N)(=O)=O)[s]1
256,CC(C)C(NC(=O)OC(C)(C)C)C(=O)NCCc1ccc(cc1)S(N)(=O)=O
257,CSCCC(NC(=O)OC(C)(C)C)C(=O)NCCc1ccc(cc1)S(N)(=O)=O
258,NS(=O)(=O)c1[n]c2ccc(cc2[s]1)NC(=O)CN(CC(O)=O)CCOCCOCCN(CC(O)=O)CC(=O)Nc1cc2[s]c([n]c2cc1)S(N)(=O)=O
259,NS(=O)(=O)c1ccc(CCO)cc1
260,NS(=O)(=O)c1ccc(CCNC(=O)C(CSc2ccccc2)NC(=O)OCc2ccccc2)cc1
261,CC(C)C(NC(=O)OCc1ccccc1)C(=O)NCCc1ccc(cc1)S(N)(=O)=O
262,NS(=O)(=O)c1[n][n]c(NC(=O)c2ccc(cc2)N2C3CCCC(=O)C=3C(C3=C2CCCC3=O)c2ccc(Cl)cc2)[s]1
263,NS(=O)(=O)c1[n]c2ccc(cc2[s]1)OC(=O)CN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC(=O)Oc1cc2[s]c([n]c2cc1)S(N)(=O)=O
264,NS(=O)(=O)c1[n][n]c(NS(=O)(=O)c2cc(Br)c(N)c(Br)c2)[s]1
265,NS(=O)(=O)c1[n]c2ccc(cc2[s]1)NC(=O)CN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC(=O)Nc1cc2[s]c([n]c2cc1)S(N)(=O)=O
266,NS(=O)(=O)c1[n]c2ccc(cc2[s]1)OCCOC(=O)CN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC(=O)OCCOc1cc2[s]c([n]c2cc1)S(N)(=O)=O
267,NS(=O)(=O)c1[n][n]c(NS(=O)(=O)c2ccc(cc2)NC(=S)Nc2ccccc2F)[s]1
268,CC(CC)C(NC(=O)OC(C)(C)C)C(=O)NCCc1cccc(c1)S(N)(=O)=O
269,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCC(CC1)c1ccccc1
