Monomer_ID,Internal_ID,SMILES,pKi
50508869,2037,NS(=O)(=O)c1nnc(NC(=O)C(\Cc2ccc(O)cc2)=N\O)s1,8.018
50190247,2038,COC(=O)CS(=O)(=O)c1cc(Cl)c(C)cc1S(N)(=O)=O,8.018
50596799,2040,NS(=O)(=O)c1ccc(CCNC(=O)c2cc(nc3ccccc23)-c2cccc(Br)c2)cc1,8.018
50346732,2041,CCB(CC)OC(=O)[C@@H](N)CCCCNC(=S)NCc1ccc(cc1)S(N)(=O)=O |r|,8.018
50504774,2042,Nc1nc(NC(=O)Nc2ccc(cc2)C(O)=O)nn1-c1ccc(cc1)S(N)(=O)=O,8.018
50346729,2043,CCB(CC)OC(=O)[C@@H](N)CCCCNC(=S)Nc1ccc(cc1)S(N)(=O)=O |r|,8.018
50428512,2044,NS(=O)(=O)c1ccc(cc1)-n1nc(CO)cc1-c1ccc2ccccc2c1,8.018
50556086,2045,Cc1c(sc2nc3ccccc3n12)C(=O)\C=C\NCCc1ccc(cc1)S(N)(=O)=O,8.018
50345219,2046,CCC(C(=O)Nc1ccc(cc1)S(N)(=O)=O)C(C)(C)C,8.018
50334348,2047,NS(=O)(=O)c1ccc(NC(=O)Nc2ccccc2-c2ccccc2)cc1,8.013
50159801,2048,NS(=O)(=O)OCCCCOS(N)(=O)=O,8.013
11043,2049,NS(=O)(=O)c1ccc(NC(=O)CCS)c(F)c1,8.013
50504778,2050,Nc1nc(nn1-c1ccc(cc1)S(N)(=O)=O)C(=O)NNC(=S)Nc1ccccc1,8.013
50346731,2051,CCB(CC)OC(=O)[C@@H](N)CCCCNC(=S)NCCc1ccc(cc1)S(N)(=O)=O |r|,8.013
50556095,2052,Cc1c(NC(=O)NCCc2ccc(cc2)S(N)(=O)=O)sc2nc3ccccc3n12,8.013
50167374,2053,CC1(C)OB(OC1(C)C)c1ccc(NC(=S)Nc2ccc(cc2I)S(N)(=O)=O)cc1,8.009
50540573,2054,Nc1cccc(c1)C(=O)c1ccc(cc1)-c1ccc(cc1)S(N)(=O)=O,8.009
50366047,2055,CC(=O)OC[C@H]1O[C@@H](NC(=S)NCCc2ccc(cc2)S(N)(=O)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1O[C@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O |r|,8.009
50550938,2056,NS(=O)(=O)c1ccc(cc1)-n1cc(-c2ccc(Cl)cc2)c2c(N\N=C\c3ccccc3O)ncnc12,8.009
12149,2057,Cc1ccc(cc1)S(=O)(=O)NC(=O)NNC(=O)c1ccc(cc1)S(N)(=O)=O,8.009
50537861,2058,NS(=O)(=O)c1ccc(cc1)-c1nnc(o1)C1CCCC1,8.009
50049518,2060,CC(C)(C)OC(=O)NCCCC(=O)NCc1ccc(cc1)S(N)(=O)=O,8.009
50504753,2061,Nc1nc(NC(=O)Nc2ccccc2)nn1-c1ccc(cc1)S(N)(=O)=O,8.009
50515822,2062,CC(=O)N1N=C(CC1c1ccc(OS(N)(=O)=O)cc1)c1ccc(C)cc1 |c:4|,8.004
50147169,2063,NS(=O)(=O)c1ccc(NC(=O)c2ccc(cc2)\N=C2/C(=O)Nc3ccc(cc23)[N+]([O-])=O)cc1,8.004
50320515,2064,NS(=O)(=O)c1cnccc1SCc1ccccc1,8.004
50130748,2065,NS(=O)(=O)c1ccc(cc1)-n1nc(cc1-c1ccccc1)C(=O)N\N=C1/C(=O)Nc2ccc(Cl)cc12,8.004
50278781,2066,CC(=O)OC[C@H]1O[C@@H](SCc2cn(nn2)-c2ccc(cc2)S(N)(=O)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O |r|,8.004
50117111,2068,NS(=O)(=O)NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,8.0
50134329,2069,C[C@]12CC[C@H]3[C@@H](CCc4cc(OS(N)(=O)=O)ccc34)[C@@H]1CCC2=O,8.0
50094819,2070,NS(=O)(=O)c1ccc(NC(=S)NC(CC(O)=O)C(=O)NC(CC(O)=O)C(=O)NC(CC(O)=O)C(=O)NC(CC(O)=O)C(O)=O)cc1,8.0
11637,2071,C[C@]12CCC3C(CCc4cc(OS(N)(=O)=O)ccc34)C1CCC2=O |r|,8.0
50240191,2072,NS(=O)(=O)c1ccc(NC(=O)Nc2cccc(Cl)c2)cc1,8.0
50595010,2073,NS(=O)(=O)c1ccc(NCc2cccc(Br)c2O)cc1,8.0
50108586,2074,CCCC(CCC)C(=O)N=c1sc(nn1C)S(N)(=O)=O |w:9.8|,8.0
50329602,2075,Cc1c(cc(-c2ccc3ccccc3c2)n1-c1ccc(cc1)S(N)(=O)=O)C(=O)NCCN1CCCC1,8.0
50329601,2076,CN1CCN(CC1)C(=O)c1cc(-c2ccc3ccccc3c2)n(c1C)-c1ccc(cc1)S(N)(=O)=O,8.0
50084557,2077,Cc1cc(cc(C)[n+]1CC(=O)Nc1ccc(cc1Cl)S(N)(=O)=O)-c1ccccc1,8.0
50108589,2078,COc1cc(cc(OC)c1OC)C(=O)Nc1nnc(s1)S(N)(=O)=O,8.0
50366072,2079,CC(=O)OC[C@H]1O[C@@H](NC(=S)NNC(=O)c2ccc(cc2)S(N)(=O)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O |r|,8.0
50097274,2080,NS(=O)(=O)c1cc(c(NC(=O)CN(CCN(CCN(CC(O)=O)CC(O)=O)CC(O)=O)CC(O)=O)c(Cl)c1Cl)S(N)(=O)=O,8.0
50314774,2081,C[C@H]1O[C@@H](Nc2ccc(cc2)S(N)(=O)=O)[C@@H](O)[C@@H](O)[C@@H]1O |r|,8.0
50037248,2082,NS(=O)(=O)c1ccc2nc(sc2c1)-n1cc(C=O)c(n1)-c1ccc(F)cc1,8.0
50117676,2083,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)ccc2C1,8.0
16666,2084,NS(=O)(=O)c1ccc(CCNC(=O)c2cc3ccccc3oc2=O)cc1,8.0
50013762,2085,Cl.NS(=O)(=O)c1ccc(\C=N\Cc2ccc(O)cc2)cc1,8.0
50210256,2086,CC1(C)O[C@@H]2CC[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1 |r|,8.0
50237364,2087,CN(C(=O)Cc1ccc(cc1)-c1ccccn1)c1nc(CO)c(s1)S(N)(=O)=O,8.0
50108106,2088,CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O)S(=O)(=O)NCCCCCOS(N)(=O)=O |r|,8.0
50035687,2089,NS(=O)(=O)c1ccc(cc1)N1C(=O)CCC1=O,8.0
50094445,2090,NS(=O)(=O)c1cccc(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)c1,8.0
50396058,2091,"NS(=O)(=O)c1nnc(NC(=O)OC23CC4CC(CC(C4)C2)C3)s1 |TLB:11:12:15:19.17.18,THB:17:16:13:19.18.20,17:18:15.16.21:13,20:18:15:21.12.13,20:12:15:19.17.18|",8.0
50079030,2092,NS(=O)(=O)c1ccc(N2C(=O)c3cccnc3C2=O)c(F)c1,8.0
50088757,2093,NS(=O)(=O)c1ccc(CNSC(=S)N2CCOCC2)cc1,8.0
50094448,2094,NS(=O)(=O)c1ccc(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1,8.0
82103,2095,"NS(=O)(=O)c1nnc(NC(=O)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)s1 |r,THB:12:13:19.11.20:16,14:13:19:15.20.16|",8.0
50146828,2096,NS(=O)(=O)c1ccc(cc1)-c1cc2ccccc2[nH]1,8.0
50094813,2097,NS(=O)(=O)c1ccc(NC(=S)NC(CCC(O)=O)C(O)=O)cc1,8.0
50336639,2098,C[C@@H]1O[C@@H](Nc2ccc(cc2)S(N)(=O)=O)[C@H](O)[C@H](O)[C@H]1O |r|,8.0
50292015,2099,NS(=O)(=O)c1cc(c(NC(=O)CN(CCOCCOCCN(CC(O)=O)CC(=O)Nc2c(Cl)c(Cl)c(cc2S(N)(=O)=O)S(N)(=O)=O)CC(O)=O)c(Cl)c1Cl)S(N)(=O)=O,8.0
