UniProt_ID,ChEMBL_ID,PDB_ID,Gene_Name,Synonyms,Other_Accessions,Organism,Method,Resolution,Chains
P00519,CHEMBL1862,1AB2,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,NMR,,A=120-220
P00519,CHEMBL1862,1AWO,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,NMR,,A=65-119
P00519,CHEMBL1862,1BBZ,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.65 A,A/C/E/G=64-121
P00519,CHEMBL1862,1JU5,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,NMR,,C=62-122
P00519,CHEMBL1862,1OPL,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,3.42 A,A/B=27-512
P00519,CHEMBL1862,1ZZP,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,NMR,,A=1007-1130
P00519,CHEMBL1862,2ABL,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.50 A,A=57-218
P00519,CHEMBL1862,2E2B,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.20 A,A/B=229-515
P00519,CHEMBL1862,2F4J,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.91 A,A=229-513
P00519,CHEMBL1862,2FO0,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.27 A,A=38-512
P00519,CHEMBL1862,2G1T,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.80 A,A/B/C/D=229-512
P00519,CHEMBL1862,2G2F,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.70 A,A/B=229-512
P00519,CHEMBL1862,2G2H,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.00 A,A/B=229-512
P00519,CHEMBL1862,2G2I,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,3.12 A,A/B=229-512
P00519,CHEMBL1862,2GQG,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.40 A,A/B=229-500
P00519,CHEMBL1862,2HIW,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.20 A,A/B=230-512
P00519,CHEMBL1862,2HYY,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.40 A,A/B/C/D=228-500
P00519,CHEMBL1862,2HZ0,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.10 A,A/B=228-497
P00519,CHEMBL1862,2HZ4,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.80 A,A/B/C=228-500
P00519,CHEMBL1862,2HZI,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.70 A,A/B=229-500
P00519,CHEMBL1862,2O88,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.75 A,A/B=64-121
P00519,CHEMBL1862,2V7A,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.50 A,A/B=229-512
P00519,CHEMBL1862,3CS9,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.21 A,A/B/C/D=229-500
P00519,CHEMBL1862,3EG0,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.30 A,A=60-121
P00519,CHEMBL1862,3EG1,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.85 A,A/B=60-121
P00519,CHEMBL1862,3EG2,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.80 A,A=60-121
P00519,CHEMBL1862,3EG3,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.40 A,A=60-121
P00519,CHEMBL1862,3EGU,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.25 A,A=60-121
P00519,CHEMBL1862,3K2M,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.75 A,A/B=121-232
P00519,CHEMBL1862,3PYY,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.85 A,A/B=229-512
P00519,CHEMBL1862,3QRI,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.10 A,A/B=229-499
P00519,CHEMBL1862,3QRJ,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.82 A,A/B=229-499
P00519,CHEMBL1862,3QRK,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.30 A,A=229-499
P00519,CHEMBL1862,3T04,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.10 A,A=112-232
P00519,CHEMBL1862,3UE4,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.42 A,A/B=229-512
P00519,CHEMBL1862,3UYO,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.83 A,A=112-232
P00519,CHEMBL1862,4J9B,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.70 A,A=60-121
P00519,CHEMBL1862,4J9C,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.05 A,A=60-121
P00519,CHEMBL1862,4J9D,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.50 A,A/C/E=60-121
P00519,CHEMBL1862,4J9E,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.40 A,A/C/E=60-121
P00519,CHEMBL1862,4J9F,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.09 A,A/C/E=60-121
P00519,CHEMBL1862,4J9G,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.80 A,A/C/E=60-121
P00519,CHEMBL1862,4J9H,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.70 A,A/B/C/D/E/F=60-121
P00519,CHEMBL1862,4J9I,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.20 A,A/C/E=60-121
P00519,CHEMBL1862,4JJB,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.65 A,A=60-121
P00519,CHEMBL1862,4JJC,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.60 A,A=60-121
P00519,CHEMBL1862,4JJD,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,1.60 A,A=60-121
P00519,CHEMBL1862,4TWP,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.40 A,A/B=233-503
P00519,CHEMBL1862,4WA9,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.20 A,A/B=246-512
P00519,CHEMBL1862,4XEY,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.89 A,A/B=119-515
P00519,CHEMBL1862,4YC8,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.90 A,A/B=229-512
P00519,CHEMBL1862,4ZOG,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.30 A,A/B=229-511
P00519,CHEMBL1862,5DC0,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",9606,X-ray,2.23 A,B=112-232
