UniProt_ID,Organism,Gene_Name,Synonyms,Other_Accessions,PDB_ID,Method,Resolution,Chains
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",1AB2,NMR,,A=120-220
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",1AWO,NMR,,A=65-119
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",1BBZ,X-ray,1.65 A,A/C/E/G=64-121
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",1JU5,NMR,,C=62-122
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",1OPL,X-ray,3.42 A,A/B=27-512
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",1ZZP,NMR,,A=1007-1130
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2ABL,X-ray,2.50 A,A=57-218
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2E2B,X-ray,2.20 A,A/B=229-515
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2F4J,X-ray,1.91 A,A=229-513
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2FO0,X-ray,2.27 A,A=38-512
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2G1T,X-ray,1.80 A,A/B/C/D=229-512
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2G2F,X-ray,2.70 A,A/B=229-512
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2G2H,X-ray,2.00 A,A/B=229-512
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2G2I,X-ray,3.12 A,A/B=229-512
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2GQG,X-ray,2.40 A,A/B=229-500
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2HIW,X-ray,2.20 A,A/B=230-512
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2HYY,X-ray,2.40 A,A/B/C/D=228-500
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2HZ0,X-ray,2.10 A,A/B=228-497
P00519,9606,ABL1,"ABL, JTK7","A3KFJ3, Q13869, Q13870, Q16133, Q17R61, Q45F09",2HZ4,X-ray,2.80 A,A/B/C=228-500
