UniProt_ID,ChEMBL_ID,PDB_ID,Gene_Name,Synonyms,Other_Accessions,Organism,Method,Resolution,Chains
P04626,CHEMBL1824,1MFG,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,1.25 A,B=1247-1255
P04626,CHEMBL1824,1MFL,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,1.88 A,B=1247-1255
P04626,CHEMBL1824,1MW4,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,NMR,,B=1135-1144
P04626,CHEMBL1824,1N8Z,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,2.52 A,C=23-629
P04626,CHEMBL1824,1QR1,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,2.40 A,C/F=654-662
P04626,CHEMBL1824,1S78,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,3.25 A,A/B=23-646
P04626,CHEMBL1824,2A91,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,2.50 A,A=22-530
P04626,CHEMBL1824,2JWA,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,NMR,,A/B=641-684
P04626,CHEMBL1824,2KS1,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,NMR,,A=641-684
P04626,CHEMBL1824,2L4K,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,NMR,,B=1135-1144
P04626,CHEMBL1824,2N2A,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,NMR,,A/B=644-700
P04626,CHEMBL1824,3BE1,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,2.90 A,A=23-646
P04626,CHEMBL1824,3H3B,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,2.45 A,A/B=23-214
P04626,CHEMBL1824,3MZW,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,2.90 A,A=23-646
P04626,CHEMBL1824,3N85,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,3.20 A,A=23-646
P04626,CHEMBL1824,3PP0,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,2.25 A,A/B=703-1029
P04626,CHEMBL1824,3RCD,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,3.21 A,A/B/C/D=713-1028
P04626,CHEMBL1824,3WLW,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,3.09 A,A/B=23-586
P04626,CHEMBL1824,3WSQ,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,3.50 A,A=23-586
P04626,CHEMBL1824,4GFU,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,2.00 A,F=1246-1252
P04626,CHEMBL1824,4HRL,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,2.55 A,C=24-219
P04626,CHEMBL1824,4HRM,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,3.20 A,A/C=24-219
P04626,CHEMBL1824,4HRN,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,2.65 A,C/D=529-625
P04626,CHEMBL1824,4NND,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,2.50 A,C/E/F/H=1109-1114
P04626,CHEMBL1824,5K33,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,3.30 A,C=23-629
P04626,CHEMBL1824,5KWG,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,4.30 A,C=23-653
P04626,CHEMBL1824,5MY6,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,2.25 A,A=24-645
P04626,CHEMBL1824,5O4G,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",9606,X-ray,3.00 A,C=23-628
