Uniprot_ID,Gene_Name,Synonyms,Other_Accessions,PDB_ID,Method,Resolution,Chains
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",1MFG,X-ray,1.25 A,B=1247-1255
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",1MFL,X-ray,1.88 A,B=1247-1255
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",1MW4,NMR,,B=1135-1144
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",1N8Z,X-ray,2.52 A,C=23-629
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",1QR1,X-ray,2.40 A,C/F=654-662
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",1S78,X-ray,3.25 A,A/B=23-646
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",2A91,X-ray,2.50 A,A=22-530
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",2JWA,NMR,,A/B=641-684
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",2KS1,NMR,,A=641-684
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",2L4K,NMR,,B=1135-1144
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",2N2A,NMR,,A/B=644-700
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3BE1,X-ray,2.90 A,A=23-646
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3H3B,X-ray,2.45 A,A/B=23-214
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3MZW,X-ray,2.90 A,A=23-646
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3N85,X-ray,3.20 A,A=23-646
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3PP0,X-ray,2.25 A,A/B=703-1029
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3RCD,X-ray,3.21 A,A/B/C/D=713-1028
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3WLW,X-ray,3.09 A,A/B=23-586
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",3WSQ,X-ray,3.50 A,A=23-586
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",4GFU,X-ray,2.00 A,F=1246-1252
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",4HRL,X-ray,2.55 A,C=24-219
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",4HRM,X-ray,3.20 A,A/C=24-219
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",4HRN,X-ray,2.65 A,C/D=529-625
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",4NND,X-ray,2.50 A,C/E/F/H=1109-1114
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",5K33,X-ray,3.30 A,C=23-629
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",5KWG,X-ray,4.30 A,C=23-653
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",5MY6,X-ray,2.25 A,A=24-645
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",5O4G,X-ray,3.00 A,C=23-628
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",5OB4,NMR,,A/B=641-684
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",5TQS,X-ray,1.88 A,E/F/G/H=1218-1228
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",6ATT,X-ray,3.77 A,A=23-652
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",6BGT,X-ray,2.70 A,C=1-652
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",6J71,X-ray,2.92 A,A=22-639
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",6LBX,X-ray,2.03 A,B=531-626
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",6OGE,EM,4.36 A,A=23-644
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",7JXH,X-ray,3.27 A,A/B/C/D/E/F/G/H=703-1024
P04626,ERBB2,"HER2, MLN19, NEU, NGL","B2RZG3, B4DHN3, Q14256, Q6LDV1, Q9UMK4, X5D2V5",7MN5,EM,2.93 A,B=1-1029
